序号,类别,算法/文件名称,官方压缩包,仓库内解压目录,文件数,解压后大小(字节),官方压缩包SHA256,官方下载地址,官方页面
001,Digital Signature,Aigis-Sig+,Aigis-Sig+.zip,01-public-key/01-digital-signature/Aigis-Sig+,667,56994455,88242576a3ae8f9d090b0c9045020f04ee9b5ae828e01b839f25267959e9c7ea,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Aigis-Sig%2B.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101558094519160832.html
002,Digital Signature,BIT: Bimodal Triangular distribution based lattice signatures,BiT.zip,01-public-key/01-digital-signature/BiT,251,53213071,698fbe834279a4100a66c20f3e0b634c738e1150936acf74b55efc6db6975e8d,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/BiT.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101557841271279616.html
003,Digital Signature,CEDRUS+C,cedrus+c.zip,01-public-key/01-digital-signature/cedrus+c,699,32352397,a31de849cf0a0703a4e57decbdf4d97b100d00dc74756feaded2c04a7593e110,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/cedrus%2Bc.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101557642016673792.html
004,Digital Signature,CEDRUSɑ,cedrus-α.zip,01-public-key/01-digital-signature/cedrus-α,595,32463228,b90559ca94bda0130420f91fa52eeb242063a57188c766037c1b234ec3af563b,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/cedrus-%CE%B1.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101557382456365056.html
005,Digital Signature,Chinith,Chinith.zip,01-public-key/01-digital-signature/Chinith,1536,26010095,4d31ba3fe8718f59901b7efdf01b4179912ef8e04f58b4b6dbba84186f002283,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Chinith.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101557150763012096.html
006,Digital Signature,COMPASS-SIG,COMPASS-SIG.zip,01-public-key/01-digital-signature/COMPASS-SIG,422,49225441,ce88066506fe9b58c300b3ca51462c7a8350484d88ad5b8a9c9f17b5152ca820,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/COMPASS-SIG.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556993568886784.html
007,Digital Signature,CS,CS.zip,01-public-key/01-digital-signature/CS,142,19296314,c790d31cd4a288990f3d692381ed721a06641938a02dfc2e0435b7d323475cef,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/CS.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556821766000640.html
008,Digital Signature,DARTS,DARTS.zip,01-public-key/01-digital-signature/DARTS,837,41947134,1846cfe63f0cef83e2e0ca21f5dcadce3c4b16da33713957be6d156e2a9e6e95,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/DARTS.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556638554607616.html
009,Digital Signature,DOVE,DOVE.zip,01-public-key/01-digital-signature/DOVE,12,1062143601,19169e545f6a6fd90b844b0deb72db81b5eb73c136873d1dae113c2c39d1c6e0,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/DOVE.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556458866429952.html
010,Digital Signature,Facto-DSA,Facto-DSA.zip,01-public-key/01-digital-signature/Facto-DSA,669,17103431,b3de38fcc2d92ce83290d17cb250dde61f95d3326a49ada36fad3c578f2fc509,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Facto-DSA.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556276175130624.html
