序号,类别,算法/文件名称,官方文件名,本地相对路径,大小(字节),状态,SHA256,发布日期,官方下载地址,官方页面
001,数字签名 Digital Signature,Aigis-Sig+,Aigis-Sig+.zip,01-public-key/01-digital-signature/Aigis-Sig+.zip,17707823,ok,88242576a3ae8f9d090b0c9045020f04ee9b5ae828e01b839f25267959e9c7ea,2026-09-20 14:25,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Aigis-Sig%2B.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101558094519160832.html
002,数字签名 Digital Signature,BIT: Bimodal Triangular distribution based lattice signatures,BiT.zip,01-public-key/01-digital-signature/BiT.zip,46217115,ok,698fbe834279a4100a66c20f3e0b634c738e1150936acf74b55efc6db6975e8d,2026-09-20 14:24,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/BiT.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101557841271279616.html
003,数字签名 Digital Signature,CEDRUS+C,cedrus+c.zip,01-public-key/01-digital-signature/cedrus+c.zip,18695378,ok,a31de849cf0a0703a4e57decbdf4d97b100d00dc74756feaded2c04a7593e110,2026-09-20 14:23,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/cedrus%2Bc.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101557642016673792.html
004,数字签名 Digital Signature,CEDRUSɑ,cedrus-α.zip,01-public-key/01-digital-signature/cedrus-α.zip,18774773,ok,b90559ca94bda0130420f91fa52eeb242063a57188c766037c1b234ec3af563b,2026-09-20 14:22,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/cedrus-%CE%B1.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101557382456365056.html
005,数字签名 Digital Signature,Chinith,Chinith.zip,01-public-key/01-digital-signature/Chinith.zip,12927882,ok,4d31ba3fe8718f59901b7efdf01b4179912ef8e04f58b4b6dbba84186f002283,2026-09-20 14:21,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Chinith.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101557150763012096.html
006,数字签名 Digital Signature,COMPASS-SIG,COMPASS-SIG.zip,01-public-key/01-digital-signature/COMPASS-SIG.zip,38075657,ok,ce88066506fe9b58c300b3ca51462c7a8350484d88ad5b8a9c9f17b5152ca820,2026-09-20 14:20,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/COMPASS-SIG.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556993568886784.html
007,数字签名 Digital Signature,CS,CS.zip,01-public-key/01-digital-signature/CS.zip,13640373,ok,c790d31cd4a288990f3d692381ed721a06641938a02dfc2e0435b7d323475cef,2026-09-20 14:19,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/CS.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556821766000640.html
008,数字签名 Digital Signature,DARTS,DARTS.zip,01-public-key/01-digital-signature/DARTS.zip,13212635,ok,1846cfe63f0cef83e2e0ca21f5dcadce3c4b16da33713957be6d156e2a9e6e95,2026-09-20 14:18,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/DARTS.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556638554607616.html
009,数字签名 Digital Signature,DOVE,DOVE.zip,01-public-key/01-digital-signature/DOVE.zip,594738942,ok,19169e545f6a6fd90b844b0deb72db81b5eb73c136873d1dae113c2c39d1c6e0,2026-09-20 14:17,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/DOVE.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556458866429952.html
010,数字签名 Digital Signature,Facto-DSA,Facto-DSA.zip,01-public-key/01-digital-signature/Facto-DSA.zip,8545209,ok,b3de38fcc2d92ce83290d17cb250dde61f95d3326a49ada36fad3c578f2fc509,2026-09-20 14:16,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Facto-DSA.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556276175130624.html
011,数字签名 Digital Signature,FlexTree,Flextree.zip,01-public-key/01-digital-signature/Flextree.zip,100597177,ok,f31d434ac297ef6a8c454bf9d219f125290749de157df3eb90d29ae3b8a0270a,2026-09-20 14:16,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Flextree.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101556121149460480.html
012,数字签名 Digital Signature,Galas Signature Scheme,Galas Signature.zip,01-public-key/01-digital-signature/Galas Signature.zip,41464713,ok,98d57af868fa10d74b2c0656e565aa14a42ff902646d6fc440ffb7355b75342c,2026-09-20 14:14,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Galas%20Signature.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101555932409974784.html
013,数字签名 Digital Signature,GreatWall Signature Algorithm,GreatWall.zip,01-public-key/01-digital-signature/GreatWall.zip,21571838,ok,814cd3b977ddc0cc59828861c145580473b1a62a66da852b078edbaf689f5a8d,2026-09-20 14:14,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/GreatWall.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101555653564256256.html
014,数字签名 Digital Signature,Lynxer,Lynxer.zip,01-public-key/01-digital-signature/Lynxer.zip,17106428,ok,34d863f7df8979c4a5e27fcfe657ed54e81905115c0afc8ef749f50af432f928,2026-09-20 14:13,https://www.niccs.org.cn/niccs/Proposal/Public-Key%20Cryptographic%20Algorithms/Round%201%20candidates/Digital%20Signature/Lynxer.zip,https://www.niccs.org.cn/niccs/R1DigitalSignature/pc/content/content_2101555352421617664.html
