512 比特安全性：

参数: N=1024, Q=260609, D=10, L=3, K=2
LN=16384, LNBITS=14
B0=73426.15, B1=74202.04, B=74206.14

采样次数: 100000

=== z1 高位系数分布 (总系数: 307200000) ===
高位值 |    频数    |   比例
-------|------------|------------
     0 |   30407192 |   9.898174%
     1 |   29208911 |   9.508109%
     2 |   26650117 |   8.675168%
     3 |   22767090 |   7.411162%
     4 |   18517221 |   6.027741%
     5 |   14052475 |   4.574373%
     6 |   10156181 |   3.306049%
     7 |    6859679 |   2.232968%
     8 |    4416010 |   1.437503%
     9 |    2657480 |   0.865065%
    10 |    1519308 |   0.494566%
    11 |     814357 |   0.265090%
    12 |     413705 |   0.134670%
    13 |     196351 |   0.063916%
    14 |      89016 |   0.028977%
    15 |      36460 |   0.011868%
    16 |      14886 |   0.004846%
    17 |       2101 |   0.000684%
  1007 |       2023 |   0.000659%
  1008 |      15081 |   0.004909%
  1009 |      36709 |   0.011950%
  1010 |      89410 |   0.029105%
  1011 |     198539 |   0.064629%
  1012 |     410802 |   0.133725%
  1013 |     815752 |   0.265544%
  1014 |    1518109 |   0.494176%
  1015 |    2662210 |   0.866605%
  1016 |    4412742 |   1.436439%
  1017 |    6862692 |   2.233949%
  1018 |   10166970 |   3.309561%
  1019 |   14076392 |   4.582159%
  1020 |   18524769 |   6.030198%
  1021 |   22753300 |   7.406673%
  1022 |   26674898 |   8.683235%
  1023 |   29201062 |   9.505554%

=== h 系数分布 (总系数: 204800000) ===
  h值  |    频数    |   比例
-------|------------|------------
  -1023 |      19149 |   0.009350%
  -1022 |      34515 |   0.016853%
  -1021 |      44603 |   0.021779%
  -1020 |      48169 |   0.023520%
  -1019 |      45914 |   0.022419%
  -1018 |      39855 |   0.019460%
  -1017 |      31770 |   0.015513%
  -1016 |      23085 |   0.011272%
  -1015 |      15486 |   0.007562%
  -1014 |      10007 |   0.004886%
  -1013 |       5869 |   0.002866%
  -1012 |       3339 |   0.001630%
  -1011 |       1677 |   0.000819%
  -1010 |        781 |   0.000381%
  -1009 |        356 |   0.000174%
  -1008 |        185 |   0.000090%
  -1007 |         27 |   0.000013%
   -18 |          1 |   0.000000%
   -17 |       1746 |   0.000853%
   -16 |       9864 |   0.004816%
   -15 |      25362 |   0.012384%
   -14 |      60506 |   0.029544%
   -13 |     133575 |   0.065222%
   -12 |     276322 |   0.134923%
   -11 |     544618 |   0.265927%
   -10 |    1011620 |   0.493955%
    -9 |    1776366 |   0.867366%
    -8 |    2935884 |   1.433537%
    -7 |    4582240 |   2.237422%
    -6 |    6735019 |   3.288583%
    -5 |    9368504 |   4.574465%
    -4 |   12270209 |   5.991313%
    -3 |   15145008 |   7.395023%
    -2 |   17676178 |   8.630946%
    -1 |   19448795 |   9.496482%
     0 |   20156727 |   9.842152%
     1 |   19450660 |   9.497393%
     2 |   17669211 |   8.627544%
     3 |   15156572 |   7.400670%
     4 |   12263391 |   5.987984%
     5 |    9361010 |   4.570806%
     6 |    6734183 |   3.288175%
     7 |    4580124 |   2.236389%
     8 |    2936757 |   1.433963%
     9 |    1777193 |   0.867770%
    10 |    1012719 |   0.494492%
    11 |     545323 |   0.266271%
    12 |     276163 |   0.134845%
    13 |     131801 |   0.064356%
    14 |      59467 |   0.029037%
    15 |      25119 |   0.012265%
    16 |       9921 |   0.004844%
    17 |       1694 |   0.000827%
    18 |          1 |   0.000000%
  1007 |         33 |   0.000016%
  1008 |        159 |   0.000078%
  1009 |        370 |   0.000181%
  1010 |        837 |   0.000409%
