implementation,instance,operation,avg_ms,avg_cycles,ops_per_second,pk_bytes,sk_bytes,sig_bytes,peak_rss_kb,reps,msg_len
optimized,Galas-160S,keygen,2.018083,6588190,495.519758,40,40,4812,9096,1,64
optimized,Galas-160S,sign,516.921211,1689035127,1.934531,40,40,4812,9096,1,64
optimized,Galas-160S,verify,120.716114,394434332,8.283898,40,40,4812,9096,1,64
optimized,Galas-160F,keygen,0.295736,966216,3381.394216,40,40,5964,9096,1,64
optimized,Galas-160F,sign,33.135790,108260130,30.178849,40,40,5964,9096,1,64
optimized,Galas-160F,verify,31.498278,102914317,31.747767,40,40,5964,9096,1,64
optimized,Galas-256S,keygen,1.698974,5542970,588.590526,64,64,12114,28912,1,64
optimized,Galas-256S,sign,1412.076604,4613954152,0.708177,64,64,12114,28912,1,64
optimized,Galas-256S,verify,1012.721050,3309061201,0.987439,64,64,12114,28912,1,64
optimized,Galas-256F,keygen,0.316586,1034304,3158.699374,64,64,15950,28912,1,64
optimized,Galas-256F,sign,79.139689,258580345,12.635885,64,64,15950,28912,1,64
optimized,Galas-256F,verify,78.966376,258004189,12.663618,64,64,15950,28912,1,64
optimized,Galas-384S,keygen,2.304623,7525735,433.910449,96,96,27784,76000,1,64
optimized,Galas-384S,sign,4919.438940,16074271568,0.203275,96,96,27784,76000,1,64
optimized,Galas-384S,verify,2097.579737,6853837330,0.476740,96,96,27784,76000,1,64
optimized,Galas-384F,keygen,1.052544,3438994,950.079047,96,96,33384,76000,1,64
optimized,Galas-384F,sign,344.830430,1126720507,2.899976,96,96,33384,76000,1,64
optimized,Galas-384F,verify,343.357140,1121911275,2.912419,96,96,33384,76000,1,64
optimized,Galas-512S,keygen,4.563177,14891497,219.145565,128,128,49516,180156,1,64
optimized,Galas-512S,sign,15524.122474,49086057330,0.064416,128,128,49516,180156,1,64
optimized,Galas-512S,verify,4415.237021,13883196727,0.226488,128,128,49516,180156,1,64
optimized,Galas-512F,keygen,2.361605,7713676,423.440838,128,128,59416,180156,1,64
optimized,Galas-512F,sign,586.197717,1915388802,1.705909,128,128,59416,180156,1,64
optimized,Galas-512F,verify,708.826706,2316084949,1.410782,128,128,59416,180156,1,64
