implementation,instance,operation,avg_ms,avg_cycles,ops_per_second,pk_bytes,sk_bytes,sig_bytes,peak_rss_kb,reps,msg_len
reference,Galas-160S,keygen,5.387162,16121758,185.626495,40,40,4812,7580,1,64
reference,Galas-160S,sign,690.116112,2067032145,1.449032,40,40,4812,7580,1,64
reference,Galas-160S,verify,407.581592,1220781988,2.453496,40,40,4812,7580,1,64
reference,Galas-160F,keygen,5.073368,15194852,197.107720,40,40,5964,5280,1,64
reference,Galas-160F,sign,537.390240,1609587079,1.860845,40,40,5964,5280,1,64
reference,Galas-160F,verify,298.761336,894847715,3.347153,40,40,5964,5280,1,64
reference,Galas-256S,keygen,14.282553,42768042,70.015494,64,64,12114,24316,1,64
reference,Galas-256S,sign,3249.952165,9734251066,0.307697,64,64,12114,24316,1,64
reference,Galas-256S,verify,2107.889828,6313541664,0.474408,64,64,12114,24316,1,64
reference,Galas-256F,keygen,11.677385,34975122,85.635611,64,64,15950,12320,1,64
reference,Galas-256F,sign,2325.180951,6964385696,0.430074,64,64,15950,12320,1,64
reference,Galas-256F,verify,1147.833937,3437992315,0.871206,64,64,15950,12320,1,64
reference,Galas-384S,keygen,30.360056,90929694,32.938016,96,96,27784,63124,1,64
reference,Galas-384S,sign,10379.492461,31088643244,0.096344,96,96,27784,63124,1,64
reference,Galas-384S,verify,6066.710752,18171015656,0.164834,96,96,27784,63124,1,64
reference,Galas-384F,keygen,37.524935,112390008,26.648947,96,96,33384,36960,1,64
reference,Galas-384F,sign,8562.503276,25646418152,0.116788,96,96,33384,36960,1,64
reference,Galas-384F,verify,3627.620163,10865450339,0.275663,96,96,33384,36960,1,64
reference,Galas-512S,keygen,60.097143,179995417,16.639726,128,128,49516,132256,1,64
reference,Galas-512S,sign,23050.792162,69946484245,0.043382,128,128,49516,132256,1,64
reference,Galas-512S,verify,12224.362353,39943090550,0.081804,128,128,49516,132256,1,64
reference,Galas-512F,keygen,49.870678,149369784,20.051863,128,128,59416,82400,1,64
reference,Galas-512F,sign,19957.958053,59777825373,0.050105,128,128,59416,82400,1,64
reference,Galas-512F,verify,9887.327301,29615907456,0.101140,128,128,59416,82400,1,64
