scheme,level,mode,implementation_backend,matrix_backend,message_codec,keygen_cycles,encaps_cycles,decaps_cycles,total_cycles,pk_bytes,ct_bytes,sk_bytes,ss_bytes,iterations,status,notes
Frost,128,REFERENCE,ref,AES128,scalar,1012056,725967,778804,2516827,5152,5192,6736,16,4718,ok,u16,scalar
Frost,192,REFERENCE,ref,AES128,scalar,2812019,1692887,1795556,6300462,9712,9760,11528,24,2144,ok,u16,scalar
Frost,256,REFERENCE,ref,AES128,scalar,5687298,3242992,3383761,12314051,16776,15552,19416,32,1142,ok,u16,scalar
Frost,384,REFERENCE,ref,AES128,scalar,13959345,6728083,6974673,27662101,37628,25204,43492,48,1675,ok,u16,scalar
Frost,512,REFERENCE,ref,AES128,scalar,27169501,11555719,12079612,50804832,72832,36544,83328,64,327,ok,u16,scalar
Frost,128,FAST,avx2_u16,AES128,scalar,527583,712347,764863,2004793,5152,5192,6736,16,6237,ok,avx2_u16,scalar
Frost,192,FAST,avx2_u16,AES128,scalar,1154182,1585299,1719947,4459428,9712,9760,11528,24,3076,ok,avx2_u16,scalar
Frost,256,FAST,avx2_u16,AES128,scalar,2233489,2945641,3078669,8257799,16776,15552,19416,32,1642,ok,avx2_u16,scalar
Frost,384,FAST,avx2_u16,AES128,scalar,5332897,6071757,6399678,17804332,37628,25204,43492,48,2106,ok,avx2_u16,scalar
Frost,512,FAST,avx2_u16,AES128,scalar,10487619,10352221,10859073,31698913,72832,36544,83328,64,365,ok,avx2_u16,scalar
Frost,128,REFERENCE,ref,SHAKE128,scalar,4646958,4361649,4380811,13389418,5152,5192,6736,16,857,ok,u16,scalar
Frost,192,REFERENCE,ref,SHAKE128,scalar,12654917,11429814,11553423,35638154,9712,9760,11528,24,331,ok,u16,scalar
Frost,256,REFERENCE,ref,SHAKE128,scalar,26385663,23836736,24047851,74270250,16776,15552,19416,32,159,ok,u16,scalar
Frost,384,REFERENCE,ref,SHAKE128,scalar,58640118,50710498,51603121,160953737,37628,25204,43492,48,225,ok,u16,scalar
Frost,512,REFERENCE,ref,SHAKE128,scalar,107117991,92017396,92434708,291570095,72832,36544,83328,64,42,ok,u16,scalar
Frost,128,FAST,avx2_u16,SHAKE128,scalar,1362217,1534700,1574051,4470968,5152,5192,6736,16,2632,ok,avx2_u16,scalar
Frost,192,FAST,avx2_u16,SHAKE128,scalar,3173251,3504266,3674911,10352428,9712,9760,11528,24,1170,ok,avx2_u16,scalar
Frost,256,FAST,avx2_u16,SHAKE128,scalar,6332656,6968476,7118271,20419403,16776,15552,19416,32,593,ok,avx2_u16,scalar
Frost,384,FAST,avx2_u16,SHAKE128,scalar,13952677,14398405,14761925,43113007,37628,25204,43492,48,813,ok,avx2_u16,scalar
Frost,512,FAST,avx2_u16,SHAKE128,scalar,25947290,25425812,25834849,77207951,72832,36544,83328,64,150,ok,avx2_u16,scalar
Frost,128,REFERENCE,ref,AES128,e8,1016460,725117,773187,2514764,5152,5192,6736,16,4730,ok,u16,e8
Frost,192,REFERENCE,ref,AES128,e8,2764298,1664075,1828092,6256465,9712,9760,11528,24,2180,ok,u16,e8
Frost,256,REFERENCE,ref,AES128,e8,5700532,3271068,3446666,12418266,16776,15552,19416,32,1134,ok,u16,e8
Frost,384,REFERENCE,ref,AES128,e8,13953933,6722970,7043508,27720411,37628,25204,43492,48,1676,ok,u16,e8
Frost,512,REFERENCE,ref,AES128,e8,26904175,12028491,12555032,51487698,72832,36544,83328,64,314,ok,u16,e8
Frost,128,FAST,avx2_u16,AES128,e8,532128,726505,772480,2031113,5152,5192,6736,16,6211,ok,avx2_u16,e8
Frost,192,FAST,avx2_u16,AES128,e8,1175835,1600329,1703060,4479224,9712,9760,11528,24,3019,ok,avx2_u16,e8
Frost,256,FAST,avx2_u16,AES128,e8,2263166,2932396,3102265,8297827,16776,15552,19416,32,1622,ok,avx2_u16,e8
Frost,384,FAST,avx2_u16,AES128,e8,5378295,6110387,6454588,17943270,37628,25204,43492,48,2088,ok,avx2_u16,e8
Frost,512,FAST,avx2_u16,AES128,e8,10582454,10282506,10789365,31654325,72832,36544,83328,64,367,ok,avx2_u16,e8
Frost,128,REFERENCE,ref,SHAKE128,e8,4768692,4387954,4441219,13597865,5152,5192,6736,16,852,ok,u16,e8
Frost,192,REFERENCE,ref,SHAKE128,e8,12553489,11575679,11594752,35723920,9712,9760,11528,24,327,ok,u16,e8
Frost,256,REFERENCE,ref,SHAKE128,e8,26036659,23831184,24349212,74225055,16776,15552,19416,32,159,ok,u16,e8
Frost,384,REFERENCE,ref,SHAKE128,e8,58812161,51610350,51373852,161796363,37628,25204,43492,48,222,ok,u16,e8
Frost,512,REFERENCE,ref,SHAKE128,e8,109006307,93204882,91541094,293752283,72832,36544,83328,64,42,ok,u16,e8
Frost,128,FAST,avx2_u16,SHAKE128,e8,1338361,1502530,1571683,4412574,5152,5192,6736,16,2675,ok,avx2_u16,e8
Frost,192,FAST,avx2_u16,SHAKE128,e8,3208058,3547117,3686769,10441944,9712,9760,11528,24,1156,ok,avx2_u16,e8
Frost,256,FAST,avx2_u16,SHAKE128,e8,6331492,7024300,7076466,20432258,16776,15552,19416,32,593,ok,avx2_u16,e8
Frost,384,FAST,avx2_u16,SHAKE128,e8,25546124,25997828,26598809,78142761,37628,25204,43492,48,445,ok,avx2_u16,e8
Frost,512,FAST,avx2_u16,SHAKE128,e8,26022349,25305055,25601237,76928641,72832,36544,83328,64,150,ok,avx2_u16,e8
