scheme,level,mode,implementation_backend,matrix_backend,message_codec,keygen_cycles,encaps_cycles,decaps_cycles,total_cycles,pk_bytes,ct_bytes,sk_bytes,ss_bytes,iterations,status,notes
Frost,128,REFERENCE,ref,AES128,scalar,842686,616636,677701,2137023,5152,5192,6736,16,6161,ok,u16,scalar
Frost,192,REFERENCE,ref,AES128,scalar,2457042,1459919,1631036,5547997,9712,9760,11528,24,2603,ok,u16,scalar
Frost,256,REFERENCE,ref,AES128,scalar,5227004,2944986,3111830,11283820,16776,15552,19416,32,1291,ok,u16,scalar
Frost,384,REFERENCE,ref,AES128,scalar,11530763,7396611,7913031,26840405,25096,37736,29032,48,1542,ok,u16,scalar
Frost,512,REFERENCE,ref,AES128,scalar,21258341,14199278,15122978,50580597,36432,72944,41728,64,268,ok,u16,scalar
Frost,128,FAST,avx2_u16,AES128,scalar,400928,573847,668008,1642783,5152,5192,6736,16,9475,ok,avx2_u16,scalar
Frost,192,FAST,avx2_u16,AES128,scalar,994162,1364979,1555410,3914551,9712,9760,11528,24,3822,ok,avx2_u16,scalar
Frost,256,FAST,avx2_u16,AES128,scalar,1991755,2636004,2823168,7450927,16776,15552,19416,32,1908,ok,avx2_u16,scalar
Frost,384,FAST,avx2_u16,AES128,scalar,3917145,6126978,6691555,16735678,25096,37736,29032,48,2911,ok,avx2_u16,scalar
Frost,512,FAST,avx2_u16,AES128,scalar,6722643,12092407,12949749,31764799,36432,72944,41728,64,566,ok,avx2_u16,scalar
Frost,128,REFERENCE,ref,SHAKE128,scalar,4263130,4024767,4052227,12340124,5152,5192,6736,16,945,ok,u16,scalar
Frost,192,REFERENCE,ref,SHAKE128,scalar,11563861,10601833,10754964,32920658,9712,9760,11528,24,359,ok,u16,scalar
Frost,256,REFERENCE,ref,SHAKE128,scalar,24567406,22028283,22140740,68736429,16776,15552,19416,32,173,ok,u16,scalar
Frost,384,REFERENCE,ref,SHAKE128,scalar,53200486,48898351,49219460,151318297,25096,37736,29032,48,234,ok,u16,scalar
Frost,512,REFERENCE,ref,SHAKE128,scalar,95328632,88417887,91417556,275164075,36432,72944,41728,64,44,ok,u16,scalar
Frost,128,FAST,avx2_u16,SHAKE128,scalar,1181343,1335187,1430443,3946973,5152,5192,6736,16,3217,ok,avx2_u16,scalar
Frost,192,FAST,avx2_u16,SHAKE128,scalar,2919506,3193514,3338846,9451866,9712,9760,11528,24,1302,ok,avx2_u16,scalar
Frost,256,FAST,avx2_u16,SHAKE128,scalar,5794457,6300020,6502864,18597341,16776,15552,19416,32,656,ok,avx2_u16,scalar
Frost,384,FAST,avx2_u16,SHAKE128,scalar,11804877,13825849,14361757,39992483,25096,37736,29032,48,966,ok,avx2_u16,scalar
Frost,512,FAST,avx2_u16,SHAKE128,scalar,21148715,26015494,26737841,73902050,36432,72944,41728,64,180,ok,avx2_u16,scalar
Frost,128,REFERENCE,ref,AES128,e8,877978,585643,668300,2131921,5152,5192,6736,16,6488,ok,u16,e8
Frost,192,REFERENCE,ref,AES128,e8,2428461,1421178,1595748,5445387,9712,9760,11528,24,2674,ok,u16,e8
Frost,256,REFERENCE,ref,AES128,e8,5153282,2929409,3138572,11221263,16776,15552,19416,32,1298,ok,u16,e8
Frost,384,REFERENCE,ref,AES128,e8,11386611,7405588,7891961,26684160,25096,37736,29032,48,1540,ok,u16,e8
Frost,512,REFERENCE,ref,AES128,e8,21277079,14672950,15195114,51145143,36432,72944,41728,64,259,ok,u16,e8
Frost,128,FAST,avx2_u16,AES128,e8,401265,569414,666026,1636705,5152,5192,6736,16,9468,ok,avx2_u16,e8
Frost,192,FAST,avx2_u16,AES128,e8,998858,1366762,1550773,3916393,9712,9760,11528,24,3804,ok,avx2_u16,e8
Frost,256,FAST,avx2_u16,AES128,e8,2009853,2637524,2872928,7520305,16776,15552,19416,32,1891,ok,avx2_u16,e8
Frost,384,FAST,avx2_u16,AES128,e8,3914707,6212550,6649699,16776956,25096,37736,29032,48,2912,ok,avx2_u16,e8
Frost,512,FAST,avx2_u16,AES128,e8,6805109,12464999,12902311,32172419,36432,72944,41728,64,559,ok,avx2_u16,e8
Frost,128,REFERENCE,ref,SHAKE128,e8,4286535,3987229,4041833,12315597,5152,5192,6736,16,953,ok,u16,e8
Frost,192,REFERENCE,ref,SHAKE128,e8,11729428,10514765,10749350,32993543,9712,9760,11528,24,362,ok,u16,e8
Frost,256,REFERENCE,ref,SHAKE128,e8,24488120,22103076,22359711,68950907,16776,15552,19416,32,172,ok,u16,e8
Frost,384,REFERENCE,ref,SHAKE128,e8,52833899,48536397,48567016,149937312,25096,37736,29032,48,235,ok,u16,e8
Frost,512,REFERENCE,ref,SHAKE128,e8,98046223,89983652,89466074,277495949,36432,72944,41728,64,43,ok,u16,e8
Frost,128,FAST,avx2_u16,SHAKE128,e8,1160882,1314845,1406112,3881839,5152,5192,6736,16,3273,ok,avx2_u16,e8
Frost,192,FAST,avx2_u16,SHAKE128,e8,2871398,3182040,3376782,9430220,9712,9760,11528,24,1324,ok,avx2_u16,e8
Frost,256,FAST,avx2_u16,SHAKE128,e8,5799801,6305769,6481881,18587451,16776,15552,19416,32,656,ok,avx2_u16,e8
Frost,384,FAST,avx2_u16,SHAKE128,e8,11983509,13991089,14363193,40337791,25096,37736,29032,48,952,ok,avx2_u16,e8
Frost,512,FAST,avx2_u16,SHAKE128,e8,20835615,25994601,26881814,73712030,36432,72944,41728,64,183,ok,avx2_u16,e8
