implementation,instance,binary,text,data,bss,dec,peak_rss_kb,stack_usage_bytes,status,notes
Reference,MAMBA-Frost-128,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Reference/MAMBA-Frost-128/benchmark_kem_api,36007,760,208,36975,NA,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-192,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Reference/MAMBA-Frost-192/benchmark_kem_api,36943,760,208,37911,NA,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-256,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Reference/MAMBA-Frost-256/benchmark_kem_api,37015,760,208,37983,NA,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-384,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Reference/MAMBA-Frost-384/benchmark_kem_api,37279,760,208,38247,NA,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-512,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Reference/MAMBA-Frost-512/benchmark_kem_api,37519,760,208,38487,NA,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-CC-128,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Reference/MAMBA-Frost-CC-128/benchmark_kem_api,36007,760,208,36975,NA,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-CC-192,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Reference/MAMBA-Frost-CC-192/benchmark_kem_api,36943,760,208,37911,NA,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-CC-256,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Reference/MAMBA-Frost-CC-256/benchmark_kem_api,37015,760,208,37983,NA,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-CC-384,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Reference/MAMBA-Frost-CC-384/benchmark_kem_api,37535,760,208,38503,NA,NA,PASS,stack_usage_not_measured
Reference,MAMBA-Frost-CC-512,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Reference/MAMBA-Frost-CC-512/benchmark_kem_api,37647,760,208,38615,NA,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-128,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Optimized/MAMBA-Frost-128/benchmark_kem_api,30653,752,200,31605,NA,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-192,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Optimized/MAMBA-Frost-192/benchmark_kem_api,30189,752,200,31141,NA,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-256,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Optimized/MAMBA-Frost-256/benchmark_kem_api,32645,752,200,33597,NA,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-384,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Optimized/MAMBA-Frost-384/benchmark_kem_api,33653,752,200,34605,NA,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-512,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Optimized/MAMBA-Frost-512/benchmark_kem_api,34533,752,200,35485,NA,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-CC-128,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Optimized/MAMBA-Frost-CC-128/benchmark_kem_api,30683,752,200,31635,NA,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-CC-192,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Optimized/MAMBA-Frost-CC-192/benchmark_kem_api,30219,752,200,31171,NA,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-CC-256,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Optimized/MAMBA-Frost-CC-256/benchmark_kem_api,32675,752,200,33627,NA,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-CC-384,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Optimized/MAMBA-Frost-CC-384/benchmark_kem_api,34339,752,200,35291,NA,NA,PASS,stack_usage_not_measured
Optimized,MAMBA-Frost-CC-512,/workspace/Frost/x86_Self_Evaluation/results/20260628-132433/build/Optimized/MAMBA-Frost-CC-512/benchmark_kem_api,34771,752,200,35723,NA,NA,PASS,stack_usage_not_measured
