implementation,instance,pk_bytes,sk_bytes,ct_bytes,ss_bytes
Reference,MAMBA-Frost-128,5152,6736,5192,16
Reference,MAMBA-Frost-192,9712,11528,9760,24
Reference,MAMBA-Frost-256,16776,19416,15552,32
Reference,MAMBA-Frost-384,25096,29032,37736,48
Reference,MAMBA-Frost-512,36432,41728,72944,64
Reference,MAMBA-Frost-CC-128,5152,6736,5192,16
Reference,MAMBA-Frost-CC-192,9712,11528,9760,24
Reference,MAMBA-Frost-CC-256,16776,19416,15552,32
Reference,MAMBA-Frost-CC-384,37628,43492,25204,48
Reference,MAMBA-Frost-CC-512,72832,83328,36544,64
Optimized,MAMBA-Frost-128,5152,6736,5192,16
Optimized,MAMBA-Frost-192,9712,11528,9760,24
Optimized,MAMBA-Frost-256,16776,19416,15552,32
Optimized,MAMBA-Frost-384,25096,29032,37736,48
Optimized,MAMBA-Frost-512,36432,41728,72944,64
Optimized,MAMBA-Frost-CC-128,5152,6736,5192,16
Optimized,MAMBA-Frost-CC-192,9712,11528,9760,24
Optimized,MAMBA-Frost-CC-256,16776,19416,15552,32
Optimized,MAMBA-Frost-CC-384,37628,43492,25204,48
Optimized,MAMBA-Frost-CC-512,72832,83328,36544,64
