implementation,instance,operation,ops_per_sec
Reference,MAMBA-Frost-128,kem_keygen,100.87
Reference,MAMBA-Frost-128,kem_enc,97.18
Reference,MAMBA-Frost-128,kem_dec,98.58
Reference,MAMBA-Frost-192,kem_keygen,36.11
Reference,MAMBA-Frost-192,kem_enc,35.46
Reference,MAMBA-Frost-192,kem_dec,35.26
Reference,MAMBA-Frost-256,kem_keygen,17.12
Reference,MAMBA-Frost-256,kem_enc,16.65
Reference,MAMBA-Frost-256,kem_dec,16.59
Reference,MAMBA-Frost-384,kem_keygen,7.55
Reference,MAMBA-Frost-384,kem_enc,6.89
Reference,MAMBA-Frost-384,kem_dec,6.88
Reference,MAMBA-Frost-512,kem_keygen,4.14
Reference,MAMBA-Frost-512,kem_enc,3.45
Reference,MAMBA-Frost-512,kem_dec,3.44
Reference,MAMBA-Frost-CC-128,kem_keygen,105.84
Reference,MAMBA-Frost-CC-128,kem_enc,99.89
Reference,MAMBA-Frost-CC-128,kem_dec,97.75
Reference,MAMBA-Frost-CC-192,kem_keygen,35.49
Reference,MAMBA-Frost-CC-192,kem_enc,35.15
Reference,MAMBA-Frost-CC-192,kem_dec,34.84
Reference,MAMBA-Frost-CC-256,kem_keygen,17.01
Reference,MAMBA-Frost-CC-256,kem_enc,16.62
Reference,MAMBA-Frost-CC-256,kem_dec,16.52
Reference,MAMBA-Frost-CC-384,kem_keygen,7.35
Reference,MAMBA-Frost-CC-384,kem_enc,7.33
Reference,MAMBA-Frost-CC-384,kem_dec,7.32
Reference,MAMBA-Frost-CC-512,kem_keygen,3.92
Reference,MAMBA-Frost-CC-512,kem_enc,3.96
Reference,MAMBA-Frost-CC-512,kem_dec,3.95
Optimized,MAMBA-Frost-128,kem_keygen,3883.42
Optimized,MAMBA-Frost-128,kem_enc,2747.74
Optimized,MAMBA-Frost-128,kem_dec,1985.83
Optimized,MAMBA-Frost-192,kem_keygen,1750.64
Optimized,MAMBA-Frost-192,kem_enc,1389.12
Optimized,MAMBA-Frost-192,kem_dec,1045.11
Optimized,MAMBA-Frost-256,kem_keygen,935.33
Optimized,MAMBA-Frost-256,kem_enc,713.69
Optimized,MAMBA-Frost-256,kem_dec,521.39
Optimized,MAMBA-Frost-384,kem_keygen,501.94
Optimized,MAMBA-Frost-384,kem_enc,293.76
Optimized,MAMBA-Frost-384,kem_dec,244.21
Optimized,MAMBA-Frost-512,kem_keygen,285.00
Optimized,MAMBA-Frost-512,kem_enc,140.99
Optimized,MAMBA-Frost-512,kem_dec,112.39
Optimized,MAMBA-Frost-CC-128,kem_keygen,3659.57
Optimized,MAMBA-Frost-CC-128,kem_enc,2612.45
Optimized,MAMBA-Frost-CC-128,kem_dec,1936.12
Optimized,MAMBA-Frost-CC-192,kem_keygen,1861.15
Optimized,MAMBA-Frost-CC-192,kem_enc,1403.15
Optimized,MAMBA-Frost-CC-192,kem_dec,1065.14
Optimized,MAMBA-Frost-CC-256,kem_keygen,870.36
Optimized,MAMBA-Frost-CC-256,kem_enc,706.90
Optimized,MAMBA-Frost-CC-256,kem_dec,518.20
Optimized,MAMBA-Frost-CC-384,kem_keygen,336.44
Optimized,MAMBA-Frost-CC-384,kem_enc,334.16
Optimized,MAMBA-Frost-CC-384,kem_dec,264.75
Optimized,MAMBA-Frost-CC-512,kem_keygen,156.70
Optimized,MAMBA-Frost-CC-512,kem_enc,177.59
Optimized,MAMBA-Frost-CC-512,kem_dec,131.76
