profile,target,surface,model_label,model_name,alg,rop_bits,mem_bits,red_bits,svp_bits,guess_bits,beta,m_used,zeta,q,n_ring,k,dim,samples,eta_secret,t_error,Delta,sigma_error,variance_error,b_msg,v_count,fo_bits,codec_capacity_bits,ss_bits,z_bits,raw
Viper-128,128,pk,classical_refined,RC.MATZOV,bkw,171.08155713976976,159.90689059560853,inf,inf,inf,,6.888011763710674e+47,,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^171.1
           m: ≈2^158.9
         mem: ≈2^159.9
           b:       13
          t1:        0
          t2:       15
           ℓ:       12
        #cod:      442
        #top:        1
       #test:       69
         tag: coded-bkw"
Viper-128,128,pk,classical_refined,RC.MATZOV,usvp,147.3206626527875,inf,147.3206626527875,inf,inf,419.0,,,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^147.3
         red: ≈2^147.3
           δ: 1.003856
           β:      419
           d:      986
         tag:     usvp"
Viper-128,128,pk,classical_refined,RC.MATZOV,bdd,143.64809441926374,inf,142.34613747094804,142.89765946611175,inf,401.0,,,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^143.6
         red: ≈2^142.3
         svp: ≈2^142.9
           β:      401
           η:      435
           d:      978
         tag:      bdd"
Viper-128,128,pk,classical_refined,RC.MATZOV,bdd_hybrid,143.65416608262976,inf,142.36106203550304,142.89765946611175,inf,401.0,,0.0,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^143.7
         red: ≈2^142.4
         svp: ≈2^142.9
           β:      401
           η:      435
           ζ:        0
         |S|:        1
           d:      984
        prob:      1.0
           ↻:        1
         tag:   hybrid"
Viper-128,128,pk,classical_refined,RC.MATZOV,bdd_mitm_hybrid,246.5637584444735,inf,239.77006422933803,246.55069572952647,inf,419.0,,134.0,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^246.6
         red: ≈2^239.8
         svp: ≈2^246.6
           β:      419
           η:        2
           ζ:      134
         |S|: ≈2^268.5
           d:      858
        prob: ≈2^-90.6
           ↻: ≈2^92.8
         tag:   hybrid"
Viper-128,128,pk,classical_refined,RC.MATZOV,dual,154.01340334332033,100.08396204445613,inf,inf,inf,439.0,503.0,,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^154.0
         mem: ≈2^100.1
           m:      503
           β:      439
           d:     1015
           ↻:        1
         tag:     dual"
Viper-128,128,pk,classical_refined,RC.MATZOV,dual_hybrid,141.87526942872282,inf,141.68235050803958,inf,138.8771848738766,395.0,512.0,20.0,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^141.9
         red: ≈2^141.7
       guess: ≈2^138.9
           β:      395
           p:        5
           ζ:       20
           t:       30
          β':      398
           N: ≈2^81.6
           m:      512"
Viper-128,128,pk,classical_coresvp_baseline,ADPS16_classical,bkw,171.08155713976976,159.90689059560853,inf,inf,inf,,6.888011763710674e+47,,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^171.1
           m: ≈2^158.9
         mem: ≈2^159.9
           b:       13
          t1:        0
          t2:       15
           ℓ:       12
        #cod:      442
        #top:        1
       #test:       69
         tag: coded-bkw"
Viper-128,128,pk,classical_coresvp_baseline,ADPS16_classical,usvp,122.348,inf,122.348,inf,inf,419.0,,,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^122.3
         red: ≈2^122.3
           δ: 1.003856
           β:      419
           d:      986
         tag:     usvp"
Viper-128,128,pk,classical_coresvp_baseline,ADPS16_classical,bdd,123.348,inf,122.348,122.348,inf,419.0,,,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^123.3
         red: ≈2^122.3
         svp: ≈2^122.3
           β:      419
           η:      418
           d:      982
         tag:      bdd"
Viper-128,128,pk,classical_coresvp_baseline,ADPS16_classical,bdd_hybrid,123.348,inf,122.348,122.348,inf,419.0,,0.0,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^123.3
         red: ≈2^122.3
         svp: ≈2^122.3
           β:      419
           η:      418
           ζ:        0
         |S|:        1
           d:      999
        prob:      1.0
           ↻:        1
         tag:   hybrid"
Viper-128,128,pk,classical_coresvp_baseline,ADPS16_classical,bdd_mitm_hybrid,246.53588354983924,inf,216.63074940967698,246.53588354840429,inf,419.0,,133.0,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^246.5
         red: ≈2^216.6
         svp: ≈2^246.5
           β:      419
           η:        2
           ζ:      133
         |S|: ≈2^265.5
           d:      859
        prob: ≈2^-92.1
           ↻: ≈2^94.3
         tag:   hybrid"
Viper-128,128,pk,classical_coresvp_baseline,ADPS16_classical,dual,128.1880000000045,99.87208356106512,inf,inf,inf,439.0,503.0,,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^128.2
         mem: ≈2^99.9
           m:      503
           β:      439
           d:     1015
           ↻:        1
         tag:     dual"
Viper-128,128,pk,classical_coresvp_baseline,ADPS16_classical,dual_hybrid,118.56595040975178,inf,118.55199999999999,inf,111.86666576037467,406.0,512.0,0.0,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^118.6
         red: ≈2^118.6
       guess: ≈2^111.9
           β:      406
           p:        5
           ζ:        0
           t:       40
          β':      406
           N: ≈2^83.9
           m:      512"
Viper-128,128,pk,quantum_coresvp,ADPS16_quantum,bkw,171.08155713976976,159.90689059560853,inf,inf,inf,,6.888011763710674e+47,,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^171.1
           m: ≈2^158.9
         mem: ≈2^159.9
           b:       13
          t1:        0
          t2:       15
           ℓ:       12
        #cod:      442
        #top:        1
       #test:       69
         tag: coded-bkw"
Viper-128,128,pk,quantum_coresvp,ADPS16_quantum,usvp,111.03500000000001,inf,111.03500000000001,inf,inf,419.0,,,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^111.0
         red: ≈2^111.0
           δ: 1.003856
           β:      419
           d:      986
         tag:     usvp"
Viper-128,128,pk,quantum_coresvp,ADPS16_quantum,bdd,112.03500000000001,inf,111.03500000000001,111.03500000000001,inf,419.0,,,4096,256,2,512,512,2,9,8,2.29128784747792,5.25,1,1,128,256,128,128,"         rop: ≈2^112.0
         red: ≈2^111.0
         svp: ≈2^111.0
           β:      419
           η:      418
           d:      982
         tag:      bdd"
