KEM_Q,KEM_LEVEL,KEM_MESSAGE_BIT_LENGTH,KEM_N,KEM_K,KEM_ETA1,KEM_ETA2,KEM_N_BLOCKS_FOR_DU0,KEM_DU0,KEM_DU1,KEM_DV,CODE_ALPHA,CODE_BETA,DFR
3329,1,128,64,9,2,2,9,12,0,6,832,0,3.6530578633578377133982985090394157618943899077060204582501043341520614822073606e-29
3329,1,128,64,9,2,2,9,12,0,6,832,10,3.5637205970426758406628062412383011879622250121101437979486025740492433991604397e-29
3329,1,128,64,9,2,2,9,12,0,6,832,20,3.4720611847622887273708687369739935837099830905059452262096875869977159137633401e-29
3329,1,128,64,9,2,2,9,12,0,6,832,30,3.3253599815088713718067273934283818687793812834631550496717340824926216598805656e-29
3329,1,128,64,9,2,2,9,12,0,6,832,40,3.1303132969959920967140295075080257152366728730779722244087237805990949408496128e-29
3329,1,128,64,9,2,2,9,12,0,6,832,50,2.8956562593808081850598287115795718079111510106901978472377483015989015187816578e-29
3329,1,128,64,9,2,2,9,12,0,6,832,60,2.6325616822779172227772246097034052233846100045792975353409232425532042659439718e-29
3329,1,128,64,9,2,2,9,12,0,6,832,70,2.3518511809259626653244375447107383373493935814784349468438399976165218503731819e-29
3329,1,128,64,9,2,2,9,12,0,6,832,80,2.0639151404311959387335258686823197147026041840451651696327565125722642499282245e-29
3329,1,128,64,9,2,2,9,12,0,6,832,90,1.7802923499090411051169925052579533289793960524202670527105965447378938235254172e-29
3329,1,128,64,9,2,2,9,12,0,6,832,100,1.5085136725770155361969078006453305361174906754439643115572641150348062686471650e-29
3329,1,128,64,9,2,2,9,12,0,6,832,110,1.2549658720090659557971472317330028237389745577815511595502730178583041557823645e-29
3329,1,128,64,9,2,2,9,12,0,6,832,120,1.0263027711423962678841577114025760485599929218534795221788965192092075603248304e-29
3329,1,128,64,9,2,2,9,12,0,6,832,130,8.2373000519668698672938100562017535209396628933717129311342046004633639261560255e-30
3329,1,128,64,9,2,2,9,12,0,6,832,140,6.4967102446872389925237233484460817217866084928865599109235064772684543377543315e-30
3329,1,128,64,9,2,2,9,12,0,6,832,150,5.0248521692302570871386823866932895293651179574068112645457300598897619981693028e-30
3329,1,128,64,9,2,2,9,12,0,6,832,160,3.8213426353101304401258505897143857880019515055856328170616346487346859748707033e-30
3329,1,128,64,9,2,2,9,12,0,6,832,170,2.8502622301819659150522548784565903252781306247511410295868576267157286128141511e-30
3329,1,128,64,9,2,2,9,12,0,6,832,180,2.0884580303491369809383991627870798016034722059585824693464284059726289685565632e-30
3329,1,128,64,9,2,2,9,12,0,6,832,190,1.5006959542249137995233395717726053439953583298777549226523296269035392374759079e-30
3329,1,128,64,9,2,2,9,12,0,6,832,200,1.0603828601616505458236733609929749981914497537492822957222540903973053223255283e-30
3329,1,128,64,9,2,2,9,12,0,6,832,210,7.4671679390642628379455903601864600788242589575045506785840921850973448051648550e-31
3329,1,128,64,9,2,2,9,12,0,6,832,220,6.3030200077564719341380899508051228341143609989872864074078220445757190478189332e-31
3329,1,128,64,9,2,2,9,12,0,6,832,230,1.6929008056659433246943190554670848883607924065115037924011101396199675587269496e-30
3329,2,256,128,9,1,1,9,11,0,9,832,0,4.4803267777423343908870517272476441762147141066997176688440446311881237191087661e-46
3329,2,256,128,9,1,1,9,11,0,9,832,10,4.2405732536940323637573665811685863873343437331032861381183555477118088581312468e-46
3329,2,256,128,9,1,1,9,11,0,9,832,20,4.0455216961636426287226581945007360040050430639242031783407199970380905795650752e-46
3329,2,256,128,9,1,1,9,11,0,9,832,30,3.7473600157946769220786647880272250453112633000503016864660285360476424094130934e-46
3329,2,256,128,9,1,1,9,11,0,9,832,40,3.3666832487601345099038461051177949322298313590494019224098397889278361952851034e-46
3329,2,256,128,9,1,1,9,11,0,9,832,50,2.9329217610136695689822660134138234414121296135053565950999294259324212856351559e-46
3329,2,256,128,9,1,1,9,11,0,9,832,60,2.4780311344197017347916272778802637572473394041803683148219248888010289841680994e-46
3329,2,256,128,9,1,1,9,11,0,9,832,70,2.0304033306128588909000011656914659709252613100831782356664964588237546448793729e-46
3329,2,256,128,9,1,1,9,11,0,9,832,80,1.6135255344972841896374409345688929970951518224070879777087946768487216112253228e-46
3329,2,256,128,9,1,1,9,11,0,9,832,90,1.2431872443577422301578869964077675122759893846968180105614737299079754473551294e-46
3329,2,256,128,9,1,1,9,11,0,9,832,100,9.2908051762130112314709323182261223777261082138736325946690380274423044297363266e-47
3329,2,256,128,9,1,1,9,11,0,9,832,110,6.7338107554391419897375501388848693450635111133746349839469535582628458790666880e-47
3329,2,256,128,9,1,1,9,11,0,9,832,120,4.7326530312320134083449163201203099308031938349896373432174455722770829354930742e-47
3329,2,256,128,9,1,1,9,11,0,9,832,130,3.2280806095816987624908962163214394574405323203438649545947442941520066340812777e-47
3329,2,256,128,9,1,1,9,11,0,9,832,140,2.1326675726553731324413575610503100873834042671423864453767368369388831967092977e-47
3329,2,256,128,9,1,1,9,11,0,9,832,150,1.3675525957576037271068938758416418688294681626971522388392444344818519036795906e-47
3329,2,256,128,9,1,1,9,11,0,9,832,160,8.5105630946922064340754138960082879144546395001507098300382261262380212209268135e-48
3329,2,256,128,9,1,1,9,11,0,9,832,170,5.1283226482830893803857375322646833096007608989663213163382598850137147056325069e-48
3329,2,256,128,9,1,1,9,11,0,9,832,180,2.9994193628082928147893551785263372627725487115317497393085016469570568164674601e-48
3329,2,256,128,9,1,1,9,11,0,9,832,190,1.7017425711250935726111520116090060488888310957058291057035632463294350586251488e-48
3329,2,256,128,9,1,1,9,11,0,9,832,200,9.3624830367009993194767647346381936765716566640443036082009189096623740219460716e-49
3329,2,256,128,9,1,1,9,11,0,9,832,210,4.9986731531022898922664136345385648718987707199056605097392069782487893418838105e-49
3329,2,256,128,9,1,1,9,11,0,9,832,220,2.7249700940424183193704119776618869424365133232807042221150473503528714028062434e-49
3329,2,256,128,9,1,1,9,11,0,9,832,230,6.9479591716381530849465532483530991903406594291484413719274857987301669479357992e-49
7681,3,512,256,8,2,2,8,13,0,7,1920,0,6.0078373582122206110547913812942483077766096838177792996063967491645949169989441e-46
