KEM_Q,KEM_LEVEL,KEM_MESSAGE_BIT_LENGTH,KEM_N,KEM_K,KEM_ETA1,KEM_ETA2,KEM_N_BLOCKS_FOR_DU0,KEM_DU0,KEM_DU1,KEM_DV,CODE_ALPHA,CODE_BETA,DFR
16384,1,128,64,9,2,0,9,10,0,5,4096,0,2.0327644234971046713505865698578937654351447741729964067375958015109032758851000e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,10,2.0328770488107918794766836880519391563291033722943417390799105465873105882759292e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,20,2.0318805601462216343706092268135728256250469465046350763744861409590436352598842e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,30,2.0302255484872098212299256887172978826416083648081068945197152570530636784598140e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,40,2.0279275346429712003240613421154598200610264264533408330049948560594643286014838e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,50,2.0249905776223798106278474010331956568680717134723333286577629605407913754959576e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,60,2.0213256495895735748176446169242351469950602757544705056192312184113864939054550e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,70,2.0169982194053385145118416972761321213039350966725662421001778676145211294005834e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,80,2.0120744469354049594922067740547726259504122294623794498485010560875792708098411e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,90,2.0063773731420113127050090111141202127139644733447672308862309437518012593608219e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,100,2.0002556990670972928634564484285218787475328280585156301065499745354857663346551e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,110,1.9931728108622262465798004108721094552185374882888076528831805813974085884017366e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,120,1.9854946928881236206468390985540716169320834646818780167138260072791003154406042e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,130,1.9770097182238108652971487904333317486195016630358596240803274699814877389271061e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,140,1.9680643854094685098461970361420810825589687359912990408828793625307606810019518e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,150,1.9584118382302860451979684838428163767802413897895539978027882198296153545870168e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,160,1.9479761030702922740549948238825271283061299315461935868223634035502571922083461e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,170,1.9368707976637984940906561154460768801617056769207907597308362864372485576525290e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,180,1.9249898964738013564599231549430743978507379555439230326752677528265326284993138e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,190,1.9125398726097602080389783710080595257358647673856096836842976917947303336231851e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,200,1.8994210856034701602261203862912522973034225289555509693709321539070177664505954e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,210,1.8851498744405951082742815477453866098814598046938630586134878863672193934341027e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,220,1.8708965416348255961542774073144293842428245755948919312373741785043257309447675e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,230,1.8556105874576518955639329172165641571118834355445973070894482393358569399423274e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,240,1.8396238482258630641652011422717382883399082697074689402523624945122278441525428e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,250,1.8230176493785903626153345492705401259721105659744959694914374096564205015604906e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,260,1.8054430223789167940485668084479462218396069444292826278499798968509768857416214e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,270,1.7875136177640667254139862654068234093373888149310439705208383918923715271479579e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,280,1.7688577495641886063918750974963268643638142857467400229287827883728901847346914e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,290,1.7496455434766675883881558936155181627640843779545127216074441180456953267608890e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,300,1.7295051564839081885667342877002272246939740559903987450640074027216332801506592e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,310,1.7088610993893882026765845744115258288517542051419786104218609382952589914204696e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,320,1.6875337561689469763143878901375752998398488043061840677053248708327465576198386e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,330,1.6655801383314263508653630414840129091064264585595220314769230980024357823476998e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,340,1.6431814602828708537147906926930343420811385618282171901450795630219875041679017e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,350,1.6200521143877443289178371566369182720909026341272074451082031259290292074004695e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,360,1.5963948195091864549740859767168165740563506557668280828555918267701664765791835e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,370,1.5722639821465300970078493975998759107500556695321507575381224069162508183557589e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,380,1.5473976695816491516017907704417361747984640699049494392463819210827669855584249e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,390,1.5214879527360868655991911712988596655579129618896374355289383566697482922777016e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,400,1.4966087947290586103408403994085764238481030683355991567558020085911333347371834e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,410,1.4716581722209404596237895252762887926826986643494967126123943692948067350345919e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,420,1.4436016737551695055892169490126794440343725523839006843857725283896172014077693e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,430,1.4169672556219892550797020802415228213632487386425426017230946939372167846306498e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,440,1.3895902245636120089664723437256558769648104462950896335138170618189385149816004e-29
