row,instance,backend_identity,metric_class,msg64_cycles_per_byte,msg64_MiB_per_second,msg64_cycles_per_hash,msg1MiB_cycles_per_byte,msg1MiB_MiB_per_second,msg1MiB_cycles_per_hash,hot_path_messages,fallback_messages,hot_path_blocks,fallback_blocks,source_log,historical_or_current,notes
AFS-TrEDM-S6-512 Reference,512,reference-o3,single-message latency/throughput,224.180000,10.641000,14347.780000,104.490000,22.830000,109567129.000000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live benchmark row
AFS-TrEDM-S6-512 Optimized opt64,512,opt64-s6,single-message latency/throughput,29.490000,80.892000,1887.080000,12.620000,189.026000,13231257.000000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live benchmark row
AFS-TrEDM-S6-512 Optimized AVX2 hybrid,512,avx2-sbox + opt64-s6-linear,single-message latency/throughput,20.610000,115.731000,1318.830000,9.770000,244.185000,10240937.000000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live benchmark row
AFS-TrEDM-S6-512 Batch16 AVX512 norm,512,avx512_batch16_true,multi-buffer normalized throughput,8.560000,278.441000,548.020000,3.810000,625.193000,3998617.250000,32,0,16386,0,docs/perf/live/latest/live_perf_raw.csv,current,"fresh Stage16 live benchmark row; cpb is normalized multi-buffer throughput, not single-message latency"
AFS-TrEDM-S6-768 Reference,768,reference-o3,single-message latency/throughput,424.800000,5.616000,27187.390000,251.020000,9.503000,263211820.000000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live benchmark row
AFS-TrEDM-S6-768 Optimized opt64,768,opt64-s6,single-message latency/throughput,43.150000,55.274000,2761.530000,26.390000,90.387000,27669072.000000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live benchmark row
AFS-TrEDM-S6-768 Optimized AVX2 hybrid,768,avx2-sbox + opt64-s6-linear,single-message latency/throughput,40.400000,59.023000,2585.690000,24.840000,96.009000,26043574.000000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live benchmark row
AFS-TrEDM-S6-768 Batch16 AVX512 norm,768,avx512_batch16_true,multi-buffer normalized throughput,12.980000,183.615000,830.920000,8.120000,293.740000,8509958.810000,32,0,21846,0,docs/perf/live/latest/live_perf_raw.csv,current,"fresh Stage16 live benchmark row; cpb is normalized multi-buffer throughput, not single-message latency"
AFS-TrEDM-S6-1024 Reference,1024,reference-o3,single-message latency/throughput,849.880000,2.807000,54392.050000,420.480000,5.673000,440901576.000000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live benchmark row
AFS-TrEDM-S6-1024 Optimized opt64,1024,opt64-s6,single-message latency/throughput,116.040000,20.552000,7426.470000,50.470000,47.256000,52920861.000000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live benchmark row
AFS-TrEDM-S6-1024 Optimized AVX2 hybrid,1024,avx2-sbox + opt64-s6-linear,single-message latency/throughput,87.310000,27.308000,5588.070000,44.640000,53.415000,46806353.000000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live benchmark row
AFS-TrEDM-S6-1024 Batch16 AVX512 norm,1024,avx512_batch16_true,multi-buffer normalized throughput,33.450000,71.261000,2140.850000,14.570000,163.599000,15278310.310000,32,0,32770,0,docs/perf/live/latest/live_perf_raw.csv,current,"fresh Stage16 live benchmark row; cpb is normalized multi-buffer throughput, not single-message latency"
SHA3-512 Reference C (XKCP readable),SHA3-512,sha3-512-reference-c-xkcp-readable,single-message latency/throughput,212.860000,11.199000,13623.230000,189.040000,12.609000,198221068.750000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live SHA3-512 single-message baseline
SHA3-512 XKCP CompactFIPS202 (XKCP more-compact),SHA3-512,xkcp-compactfips202-sha3-512-more-compact,single-message latency/throughput,230.940000,10.322000,14780.030000,215.440000,11.064000,225901146.000000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live SHA3-512 single-message baseline
SHA3-512 OpenSSL EVP,SHA3-512,openssl-evp-sha3-512,single-message latency/throughput,24.410000,97.661000,1561.940000,8.800000,270.764000,9230380.250000,NA,NA,NA,NA,docs/perf/live/latest/live_perf_raw.csv,current,fresh Stage16 live SHA3-512 single-message baseline
