row,algorithm,implementation,implementation_kind,backend,metric_class,message_label,msg_bytes,message_bytes,repetitions,elapsed_seconds,ns_per_hash,cycles_per_hash,cycles_per_byte,throughput_MBps,throughput_MiBps,latency_ms_per_hash,checksum,digest_prefix_32_bytes,source_kind,row_label,fresh_log,log_path,run_id,timestamp_utc,instance,mode,command,binary_path,sha256_binary,binary_sha256,source_origin,upstream_source,source_file,source_path,source_sha256,backend_class,simd,api,multi_buffer_normalized,kat_status,kat_log,notes,start_time_utc,start_time,end_time_utc,end_time,started_at_utc,ended_at_utc,host,cpu_model,hot_path_messages,fallback_messages,hot_path_blocks,fallback_blocks
ref,AFS-TrEDM-S6-512,Reference,AFS-TrEDM-S6 internal single-message backend,reference-o3,single-message latency/throughput,64B,64,64,48000,0.237150,4940.620000,12332.170000,192.690000,12.954108,12.354000,0.004940620,0x97,C41504C5CEF242D4F952B90529AB47931EB8324BE692ADE397523115432ACDCC,fresh,AFS-TrEDM-S6 Reference 512,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,20260629T082144Z_pid46757_0de6f7dc,2026-06-29T08:21:48.130200Z,512,full,"/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark --full --csv --sizes 64,192,1024,1536,65536,1048576",/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,AFS-TrEDM-S6 submission source tree,AFS-TrEDM-S6 submission source tree,Implementations/Reference_Implementation/AFS-TrEDM-512/,Implementations/Reference_Implementation/AFS-TrEDM-512/,NA,afs_internal_reference,none,single-message,false,NA,NA,freshly built and executed reference backend,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,Matrix-5860,Intel(R) Xeon(R) w7-2495X,NA,NA,NA,NA
ref,AFS-TrEDM-S6-512,Reference,AFS-TrEDM-S6 internal single-message backend,reference-o3,single-message latency/throughput,192B,192,192,24000,0.232956,9706.500000,24228.150000,126.190000,19.780338,18.864000,0.009706500,0xB6,65DE6351B887C4D1F4D4F5AE30E1E38ADDA4D895CB844D75BA3237586643F37C,fresh,AFS-TrEDM-S6 Reference 512,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,20260629T082144Z_pid46757_0de6f7dc,2026-06-29T08:21:48.130200Z,512,full,"/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark --full --csv --sizes 64,192,1024,1536,65536,1048576",/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,AFS-TrEDM-S6 submission source tree,AFS-TrEDM-S6 submission source tree,Implementations/Reference_Implementation/AFS-TrEDM-512/,Implementations/Reference_Implementation/AFS-TrEDM-512/,NA,afs_internal_reference,none,single-message,false,NA,NA,freshly built and executed reference backend,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,Matrix-5860,Intel(R) Xeon(R) w7-2495X,NA,NA,NA,NA
ref,AFS-TrEDM-S6-512,Reference,AFS-TrEDM-S6 internal single-message backend,reference-o3,single-message latency/throughput,1KB,1024,1024,6000,0.261009,43501.500000,108582.700000,106.040000,23.539483,22.449000,0.043501500,0x8D,10C3DBBFCBC79B8860C0E810E5DC1069D38085E0B5759C42B08E7269541211DD,fresh,AFS-TrEDM-S6 Reference 512,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,20260629T082144Z_pid46757_0de6f7dc,2026-06-29T08:21:48.130200Z,512,full,"/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark --full --csv --sizes 64,192,1024,1536,65536,1048576",/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,AFS-TrEDM-S6 submission source tree,AFS-TrEDM-S6 submission source tree,Implementations/Reference_Implementation/AFS-TrEDM-512/,Implementations/Reference_Implementation/AFS-TrEDM-512/,NA,afs_internal_reference,none,single-message,false,NA,NA,freshly built and executed reference backend,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,Matrix-5860,Intel(R) Xeon(R) w7-2495X,NA,NA,NA,NA
ref,AFS-TrEDM-S6-512,Reference,AFS-TrEDM-S6 internal single-message backend,reference-o3,single-message latency/throughput,1536B,1536,1536,3200,0.205246,64139.370000,160096.670000,104.230000,23.947379,22.838000,0.064139370,0x89,B3DA522FB7AC7BAC0139B4F38B4CF6DAEF8CF0E9CD3CCCB30F875AD860FAE13F,fresh,AFS-TrEDM-S6 Reference 512,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,20260629T082144Z_pid46757_0de6f7dc,2026-06-29T08:21:48.130200Z,512,full,"/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark --full --csv --sizes 64,192,1024,1536,65536,1048576",/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,AFS-TrEDM-S6 submission source tree,AFS-TrEDM-S6 submission source tree,Implementations/Reference_Implementation/AFS-TrEDM-512/,Implementations/Reference_Implementation/AFS-TrEDM-512/,NA,afs_internal_reference,none,single-message,false,NA,NA,freshly built and executed reference backend,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,Matrix-5860,Intel(R) Xeon(R) w7-2495X,NA,NA,NA,NA
ref,AFS-TrEDM-S6-512,Reference,AFS-TrEDM-S6 internal single-message backend,reference-o3,single-message latency/throughput,64KB,65536,65536,80,0.201978,2524724.600000,6301893.580000,96.160000,25.957499,24.755000,2.524724600,0x37,577E409212C11DC66D91B1A33CCD61E67AA50F70F624090CA62782E76DE970CC,fresh,AFS-TrEDM-S6 Reference 512,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,20260629T082144Z_pid46757_0de6f7dc,2026-06-29T08:21:48.130200Z,512,full,"/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark --full --csv --sizes 64,192,1024,1536,65536,1048576",/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,AFS-TrEDM-S6 submission source tree,AFS-TrEDM-S6 submission source tree,Implementations/Reference_Implementation/AFS-TrEDM-512/,Implementations/Reference_Implementation/AFS-TrEDM-512/,NA,afs_internal_reference,none,single-message,false,NA,NA,freshly built and executed reference backend,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,Matrix-5860,Intel(R) Xeon(R) w7-2495X,NA,NA,NA,NA
ref,AFS-TrEDM-S6-512,Reference,AFS-TrEDM-S6 internal single-message backend,reference-o3,single-message latency/throughput,1MB,1048576,1048576,12,0.493336,41111330.190000,102616852.500000,97.860000,25.505563,24.324000,41.111330190,0x8A,686E63990338808F15BE44ADDFFAC9CD7717D031D1D52B3A1B2FE8AE2CAD3523,fresh,AFS-TrEDM-S6 Reference 512,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_512_ref_benchmark.csvlog,20260629T082144Z_pid46757_0de6f7dc,2026-06-29T08:21:48.130200Z,512,full,"/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark --full --csv --sizes 64,192,1024,1536,65536,1048576",/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-512/benchmark,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,3114af5317dad0a24311fbe4fed41b7b139d0a4e599115fcc9e2669efc5eeacc,AFS-TrEDM-S6 submission source tree,AFS-TrEDM-S6 submission source tree,Implementations/Reference_Implementation/AFS-TrEDM-512/,Implementations/Reference_Implementation/AFS-TrEDM-512/,NA,afs_internal_reference,none,single-message,false,NA,NA,freshly built and executed reference backend,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:48.130200Z,2026-06-29T08:21:45.784567Z,2026-06-29T08:21:48.130200Z,Matrix-5860,Intel(R) Xeon(R) w7-2495X,NA,NA,NA,NA
ref,AFS-TrEDM-S6-768,Reference,AFS-TrEDM-S6 internal single-message backend,reference-o3,single-message latency/throughput,64B,64,64,24000,0.208107,8671.120000,21643.720000,338.180000,7.380926,7.039000,0.008671120,0x30,76662CDAC222905D4700AC5770AD87A37697FBD9848DA0587FB0F70AC311F530,fresh,AFS-TrEDM-S6 Reference 768,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_768_ref_benchmark.csvlog,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_768_ref_benchmark.csvlog,20260629T082144Z_pid46757_0de6f7dc,2026-06-29T08:21:51.548942Z,768,full,"/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-768/benchmark --full --csv --sizes 64,192,1024,1536,65536,1048576",/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-768/benchmark,c2da31b1bdac1ce6dc264c98599d52c68858b858db8e1d6c9cee858ed87b41f7,c2da31b1bdac1ce6dc264c98599d52c68858b858db8e1d6c9cee858ed87b41f7,AFS-TrEDM-S6 submission source tree,AFS-TrEDM-S6 submission source tree,Implementations/Reference_Implementation/AFS-TrEDM-768/,Implementations/Reference_Implementation/AFS-TrEDM-768/,NA,afs_internal_reference,none,single-message,false,NA,NA,freshly built and executed reference backend,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:51.548942Z,2026-06-29T08:21:51.548942Z,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:51.548942Z,Matrix-5860,Intel(R) Xeon(R) w7-2495X,NA,NA,NA,NA
ref,AFS-TrEDM-S6-768,Reference,AFS-TrEDM-S6 internal single-message backend,reference-o3,single-message latency/throughput,192B,192,192,12000,0.311899,25991.580000,64877.110000,337.900000,7.387218,7.045000,0.025991580,0xEC,A9F8BC73366BE0D910775176136401D45CB6A84821A73AF7FBBDC0AE299722B4,fresh,AFS-TrEDM-S6 Reference 768,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_768_ref_benchmark.csvlog,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_768_ref_benchmark.csvlog,20260629T082144Z_pid46757_0de6f7dc,2026-06-29T08:21:51.548942Z,768,full,"/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-768/benchmark --full --csv --sizes 64,192,1024,1536,65536,1048576",/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-768/benchmark,c2da31b1bdac1ce6dc264c98599d52c68858b858db8e1d6c9cee858ed87b41f7,c2da31b1bdac1ce6dc264c98599d52c68858b858db8e1d6c9cee858ed87b41f7,AFS-TrEDM-S6 submission source tree,AFS-TrEDM-S6 submission source tree,Implementations/Reference_Implementation/AFS-TrEDM-768/,Implementations/Reference_Implementation/AFS-TrEDM-768/,NA,afs_internal_reference,none,single-message,false,NA,NA,freshly built and executed reference backend,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:51.548942Z,2026-06-29T08:21:51.548942Z,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:51.548942Z,Matrix-5860,Intel(R) Xeon(R) w7-2495X,NA,NA,NA,NA
ref,AFS-TrEDM-S6-768,Reference,AFS-TrEDM-S6 internal single-message backend,reference-o3,single-message latency/throughput,1KB,1024,1024,3000,0.285127,95042.390000,237232.520000,231.670000,10.774118,10.275000,0.095042390,0xA4,5412613B4503E518F8CB2FBD9C5D43A8464C71497037AFB09BC03BA62DE7A85D,fresh,AFS-TrEDM-S6 Reference 768,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_768_ref_benchmark.csvlog,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_768_ref_benchmark.csvlog,20260629T082144Z_pid46757_0de6f7dc,2026-06-29T08:21:51.548942Z,768,full,"/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-768/benchmark --full --csv --sizes 64,192,1024,1536,65536,1048576",/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-768/benchmark,c2da31b1bdac1ce6dc264c98599d52c68858b858db8e1d6c9cee858ed87b41f7,c2da31b1bdac1ce6dc264c98599d52c68858b858db8e1d6c9cee858ed87b41f7,AFS-TrEDM-S6 submission source tree,AFS-TrEDM-S6 submission source tree,Implementations/Reference_Implementation/AFS-TrEDM-768/,Implementations/Reference_Implementation/AFS-TrEDM-768/,NA,afs_internal_reference,none,single-message,false,NA,NA,freshly built and executed reference backend,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:51.548942Z,2026-06-29T08:21:51.548942Z,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:51.548942Z,Matrix-5860,Intel(R) Xeon(R) w7-2495X,NA,NA,NA,NA
ref,AFS-TrEDM-S6-768,Reference,AFS-TrEDM-S6 internal single-message backend,reference-o3,single-message latency/throughput,1536B,1536,1536,1600,0.236507,147816.840000,368962.520000,240.210000,10.391388,9.910000,0.147816840,0x05,22314FF97DBF33C86177FD72A5ECAD71BA68D1DC8FBF13470BE3514D4474E635,fresh,AFS-TrEDM-S6 Reference 768,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_768_ref_benchmark.csvlog,/tmp/afs_tredm_s6/live_perf/20260629T082144Z_pid46757_0de6f7dc/afs_768_ref_benchmark.csvlog,20260629T082144Z_pid46757_0de6f7dc,2026-06-29T08:21:51.548942Z,768,full,"/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-768/benchmark --full --csv --sizes 64,192,1024,1536,65536,1048576",/home/weibh/Codex/AFS-TrEDM_Submission_v2.0/Implementations/Reference_Implementation/AFS-TrEDM-768/benchmark,c2da31b1bdac1ce6dc264c98599d52c68858b858db8e1d6c9cee858ed87b41f7,c2da31b1bdac1ce6dc264c98599d52c68858b858db8e1d6c9cee858ed87b41f7,AFS-TrEDM-S6 submission source tree,AFS-TrEDM-S6 submission source tree,Implementations/Reference_Implementation/AFS-TrEDM-768/,Implementations/Reference_Implementation/AFS-TrEDM-768/,NA,afs_internal_reference,none,single-message,false,NA,NA,freshly built and executed reference backend,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:51.548942Z,2026-06-29T08:21:51.548942Z,2026-06-29T08:21:48.332671Z,2026-06-29T08:21:51.548942Z,Matrix-5860,Intel(R) Xeon(R) w7-2495X,NA,NA,NA,NA
