implementation,digest_bits,level,input_bytes,iterations,repetitions,best_ns,best_cycles,avg_ns,avg_cycles,throughput_mib_s,checksum
Eijen x86 reference C99,256,S1,32,65536,5,56727583,113455262,865.59,1731.19,35.26,000000000f450000
Eijen x86 reference C99,256,S2,128,16384,5,14097506,28195106,860.44,1720.89,141.87,f65e6cd9cfe150da
Eijen x86 reference C99,256,S3,512,4096,5,9794006,19588108,2391.11,4782.25,204.21,4b0e563dddd0f96c
Eijen x86 reference C99,256,S4,1024,2048,5,8033086,16066270,3922.41,7844.86,248.97,9f8c97bfcc6e7ea5
Eijen x86 reference C99,256,S5,4096,512,5,7457958,14916054,14566.32,29132.92,268.17,fc099d40bc179cbe
Eijen x86 reference C99,256,S6,8192,256,5,7437208,14874596,29051.59,58103.89,268.92,3f7d019455a9c4d7
Eijen x86 reference C99,256,S7,16384,200,5,11597465,23195082,57987.32,115975.41,269.46,7453f752d505cb3b
Eijen x86 reference C99,256,S8,65536,200,5,46310049,92620296,231550.24,463101.48,269.92,398fefbefafd1d7a
Eijen x86 reference C99,384,S1,32,65536,5,58988439,117976974,900.09,1800.19,33.90,000000001dea0000
Eijen x86 reference C99,384,S2,128,16384,5,14710153,29420400,897.84,1795.68,135.96,dc9f4791ff783a3f
Eijen x86 reference C99,384,S3,512,4096,5,9935566,19871232,2425.68,4851.38,201.30,374b6e93133a1bc6
Eijen x86 reference C99,384,S4,1024,2048,5,9648004,19296124,4710.94,9421.94,207.30,310579371d509619
Eijen x86 reference C99,384,S5,4096,512,5,8269593,16539336,16151.55,32303.39,241.85,7ea0405681d5b185
Eijen x86 reference C99,384,S6,8192,256,5,4385208,8770542,17129.72,34259.93,456.08,cf166d6f69713bb5
Eijen x86 reference C99,384,S7,16384,200,5,6434695,12869466,32173.47,64347.33,485.65,08494c8e2c621439
Eijen x86 reference C99,384,S8,65536,200,5,25642760,51285624,128213.80,256428.12,487.47,93111d514f24e5bc
Eijen x86 reference C99,512,S1,32,65536,5,31599107,63198272,482.16,964.33,63.29,0000000002bb0000
Eijen x86 reference C99,512,S2,128,16384,5,7838577,15677204,478.43,956.86,255.15,c0cde74c9a423e6f
Eijen x86 reference C99,512,S3,512,4096,5,5178764,10357580,1264.35,2528.71,386.19,c91471165a8c02e8
Eijen x86 reference C99,512,S4,1024,2048,5,4993087,9986254,2438.03,4876.10,400.55,217529eff1367aaa
Eijen x86 reference C99,512,S5,4096,512,5,4639197,9278482,9060.93,18122.04,431.11,410b85dfe1a167b2
Eijen x86 reference C99,512,S6,8192,256,5,4512967,9026020,17628.78,35257.89,443.17,dc42809ae5cb38eb
Eijen x86 reference C99,512,S7,16384,200,5,7049560,14099206,35247.80,70496.03,443.29,c6277c8a59f86ee8
Eijen x86 reference C99,512,S8,65536,200,5,27921345,55842810,139606.73,279214.05,447.69,79e7ed6395c738cf
Eijen x86 reference C99,768,S1,32,65536,5,34133085,68266220,520.83,1041.66,58.59,000000001c4d0000
Eijen x86 reference C99,768,S2,128,16384,5,8515153,17030352,519.72,1039.45,234.88,71953ce11153241d
Eijen x86 reference C99,768,S3,512,4096,5,6964072,13928194,1700.21,3400.44,287.19,bd9afc45ad1f1bcb
Eijen x86 reference C99,768,S4,1024,2048,5,5881948,11763958,2872.04,5744.12,340.02,d1d4a38ca8c3027b
Eijen x86 reference C99,768,S5,4096,512,5,5471237,10942564,10686.01,21372.20,365.55,1dbe7d9b0b007b20
Eijen x86 reference C99,768,S6,8192,256,5,5451870,10903828,21296.37,42593.08,366.85,fb09cf09d227e430
Eijen x86 reference C99,768,S7,16384,200,5,8491396,16982880,42456.98,84914.40,368.02,903e8c8be8d20410
Eijen x86 reference C99,768,S8,65536,200,5,33949271,67898662,169746.36,339493.31,368.20,4b89dc00990e55b3
Eijen x86 reference C99,1024,S1,32,65536,5,36487193,72974436,556.75,1113.50,54.81,0000000009040000
Eijen x86 reference C99,1024,S2,128,16384,5,15468675,30937400,944.13,1888.27,129.29,620cae862050eb17
Eijen x86 reference C99,1024,S3,512,4096,5,8744204,17488456,2134.82,4269.64,228.72,6c1456763aec53ba
Eijen x86 reference C99,1024,S4,1024,2048,5,7582012,15164074,3702.15,7404.33,263.78,240584a867b19e36
Eijen x86 reference C99,1024,S5,4096,512,5,7115879,14231848,13898.20,27796.58,281.06,cd24037afd7888ae
Eijen x86 reference C99,1024,S6,8192,256,5,6995752,13991594,27327.16,54654.66,285.89,97ff7e96c637ed13
Eijen x86 reference C99,1024,S7,16384,200,5,10821849,21643790,54109.25,108218.95,288.77,e59ed4227ce2a089
Eijen x86 reference C99,1024,S8,65536,200,5,43138251,86276620,215691.26,431383.10,289.77,e3bcdf957176367d
