implementation,digest_bits,level,input_bytes,iterations,repetitions,best_ns,best_cycles,avg_ns,avg_cycles,throughput_mib_s,checksum
Eijen x86 AVX2 performance,256,S1,32,65536,5,17634579,35269222,269.08,538.17,113.41,000000000f450000
Eijen x86 AVX2 performance,256,S2,128,16384,5,4371815,8743680,266.83,533.67,457.48,1343c007cf8cbc8d
Eijen x86 AVX2 performance,256,S3,512,4096,5,2860786,5721618,698.43,1396.88,699.11,670067f725262219
Eijen x86 AVX2 performance,256,S4,1024,2048,5,2333249,4666548,1139.28,2278.59,857.17,78e3e5e783e6d55c
Eijen x86 AVX2 performance,256,S5,4096,512,5,2136510,4273094,4172.87,8345.89,936.11,fc099d40bc179cbe
Eijen x86 AVX2 performance,256,S6,8192,256,5,2127672,4255416,8311.22,16622.72,939.99,f47c64797559d2a0
Eijen x86 AVX2 performance,256,S7,16384,200,5,3311911,6623898,16559.56,33119.49,943.56,7453f752d505cb3b
Eijen x86 AVX2 performance,256,S8,65536,200,5,13233993,26468084,66169.96,132340.42,944.54,66833ea0bc3f4db2
Eijen x86 AVX2 performance,384,S1,32,65536,5,18719700,37439450,285.64,571.28,106.84,000000000cca0000
Eijen x86 AVX2 performance,384,S2,128,16384,5,4642775,9285600,283.37,566.75,430.78,dc9f4791ff783a3f
Eijen x86 AVX2 performance,384,S3,512,4096,5,2919318,5838694,712.72,1425.46,685.09,9a836b79b9749f36
Eijen x86 AVX2 performance,384,S4,1024,2048,5,2794935,5589930,1364.71,2729.46,715.58,310579371d509619
Eijen x86 AVX2 performance,384,S5,4096,512,5,2369514,4739100,4627.96,9256.05,844.05,0a8a9ec4edbe08ab
Eijen x86 AVX2 performance,384,S6,8192,256,5,2299934,4599940,8984.12,17968.52,869.59,355aca68c4a58b96
Eijen x86 AVX2 performance,384,S7,16384,200,5,3579747,7159568,17898.74,35797.84,872.97,504a770b5904c1f5
Eijen x86 AVX2 performance,384,S8,65536,200,5,14277841,28555782,71389.21,142778.91,875.48,977e2c03cff6f314
Eijen x86 AVX2 performance,512,S1,32,65536,5,19795139,39590328,302.05,604.10,101.03,0000000005bd0000
Eijen x86 AVX2 performance,512,S2,128,16384,5,4884043,9768136,298.10,596.20,409.50,b2cf93a918fe8cc4
Eijen x86 AVX2 performance,512,S3,512,4096,5,3001941,6003932,732.90,1465.80,666.24,3c9bba5195fa3691
Eijen x86 AVX2 performance,512,S4,1024,2048,5,2848913,5697876,1391.07,2782.17,702.02,7d06131c58916408
Eijen x86 AVX2 performance,512,S5,4096,512,5,2621507,5243088,5120.13,10240.41,762.92,410b85dfe1a167b2
Eijen x86 AVX2 performance,512,S6,8192,256,5,2538898,5077868,9917.57,19835.42,787.74,d115adfafa40a4d7
Eijen x86 AVX2 performance,512,S7,16384,200,5,3955537,7911152,19777.69,39555.76,790.03,d156a3b2fd643d04
Eijen x86 AVX2 performance,512,S8,65536,200,5,15642310,31284716,78211.55,156423.58,799.11,68735be189209591
Eijen x86 AVX2 performance,768,S1,32,65536,5,21863060,43726180,333.60,667.21,91.48,000000001e0c0000
Eijen x86 AVX2 performance,768,S2,128,16384,5,5412047,10824144,330.33,660.65,369.55,0d27db6621d7f652
Eijen x86 AVX2 performance,768,S3,512,4096,5,4028546,8057140,983.53,1967.08,496.46,144a2857ee863824
Eijen x86 AVX2 performance,768,S4,1024,2048,5,3351799,6703650,1636.62,3273.27,596.69,72f3cc899384e6d8
Eijen x86 AVX2 performance,768,S5,4096,512,5,3074849,6149772,6005.56,12011.27,650.44,7f655ce7c8fa7473
Eijen x86 AVX2 performance,768,S6,8192,256,5,3041307,6082692,11880.11,23760.52,657.61,a56b82b36ec94256
Eijen x86 AVX2 performance,768,S7,16384,200,5,4745252,9490580,23726.26,47452.90,658.55,7eb9ecdd96c2d528
Eijen x86 AVX2 performance,768,S8,65536,200,5,18919003,37838112,94595.01,189190.56,660.71,4b89dc00990e55b3
Eijen x86 AVX2 performance,1024,S1,32,65536,5,23993054,47986158,366.10,732.21,83.36,00000000063f0000
Eijen x86 AVX2 performance,1024,S2,128,16384,5,9504761,19009572,580.12,1160.25,210.42,620cae862050eb17
Eijen x86 AVX2 performance,1024,S3,512,4096,5,5059860,10119768,1235.32,2470.65,395.27,24fa2b4293587599
Eijen x86 AVX2 performance,1024,S4,1024,2048,5,4312247,8624542,2105.59,4211.20,463.80,94448c9f9b5a29a3
Eijen x86 AVX2 performance,1024,S5,4096,512,5,4000243,8000564,7812.97,15626.10,499.97,255c6b78fe6569fc
Eijen x86 AVX2 performance,1024,S6,8192,256,5,3898290,7796654,15227.70,30455.68,513.05,97ff7e96c637ed13
Eijen x86 AVX2 performance,1024,S7,16384,200,5,6027417,12054910,30137.08,60274.55,518.46,611fcfb047971ab1
Eijen x86 AVX2 performance,1024,S8,65536,200,5,23994315,47988730,119971.57,239943.65,520.96,e9a55a777c7cce4e
