digest_bits	input	message	expected_digest
256	zero	rate bytes all 00	80228A17A23CBEAB2887F1A68F207F64CF37AFDE64829FB7B51A409CE71378A7
256	one	rate bytes all FF	7E3B2A5EE4CF56D3FF4646C9A3577E97059933A754462ECACDE04218D1AE0004
256	abc	616263	C832C8FBDAB9CBB60824D2E879ACE7CEB1F902E54FCAA9DC81E09F3C71B04F86
384	zero	rate bytes all 00	B073FF1383DED03B501800B493D0A9D980228A17A23CBEAB2887F1A68F207F64CF37AFDE64829FB7B51A409CE71378A7
384	one	rate bytes all FF	AAB7CF11B814EB943A3702838F26095DA09ADCDBBBE5233724CCEE1FA4DC4B4DA6A3EA682BF08970BF19275E9FABBEFD
384	abc	616263	A03123E2B9D22A2302B49E012D880194C832C8FBDAB9CBB60824D2E879ACE7CEB1F902E54FCAA9DC81E09F3C71B04F86
512	zero	rate bytes all 00	20720A80BCA293539A5310A46EFA2926B073FF1383DED03B501800B493D0A9D980228A17A23CBEAB2887F1A68F207F64CF37AFDE64829FB7B51A409CE71378A7
512	one	rate bytes all FF	3B175FF348C41499955B22A6E54982D808847F0E2FE7C269B51E1DCA1C1FF9C825897C9F871AFFE411E0B646553C2F16C2E5DD95F186CA013D4F2019FBAA0174
512	abc	616263	B0F1FC89DFF8997405CEAE73C34D9A97A03123E2B9D22A2302B49E012D880194C832C8FBDAB9CBB60824D2E879ACE7CEB1F902E54FCAA9DC81E09F3C71B04F86
768	zero	rate bytes all 00	C3DD02B9FE08D75E316A87479AE6A8F47CB4F076F3ED6B07849B986B2CF1689B20720A80BCA293539A5310A46EFA2926B073FF1383DED03B501800B493D0A9D980228A17A23CBEAB2887F1A68F207F64CF37AFDE64829FB7B51A409CE71378A7
768	one	rate bytes all FF	20C2AF953AA666FED2EFC6FE70D832C9E77E830538FCE9F202EC29ED5A4AA7BA13FB284B9AFA00840A2C31EF6796BC6C729A14AD6770E1F1D25DA3BAA5EB3C4BDCF5767C3EB3637AAC725CD8211C9C71D8D88CBA9CC08757D9D8E74F1EC4789D
768	abc	616263	FC9E471C3278C9416638EE7D845FF6F1CE5EF11EABAAB83B444CB95EAC455791B0F1FC89DFF8997405CEAE73C34D9A97A03123E2B9D22A2302B49E012D880194C832C8FBDAB9CBB60824D2E879ACE7CEB1F902E54FCAA9DC81E09F3C71B04F86
1024	zero	rate bytes all 00	B3F4CB5B73AB79B20EDC62546C428718A1049A487EF76599FC96E7B6494278A9C3DD02B9FE08D75E316A87479AE6A8F47CB4F076F3ED6B07849B986B2CF1689B20720A80BCA293539A5310A46EFA2926B073FF1383DED03B501800B493D0A9D980228A17A23CBEAB2887F1A68F207F64CF37AFDE64829FB7B51A409CE71378A7
1024	one	rate bytes all FF	10CA8AA88377EB4A7487213EE0384BBA5CBB5A9300C000CE9192DE12D5D81E85535A50AAD23556E4F795F11F73702C7BFF42DB838BE183B1B1A31D9C96B025BD47B0CD040C6B45CCBC54F8D7B3BEB6CE4C4D2BBDACB1D7EF7918BD2E0912F86E895BFDE5EB24DCFA1EE5124527E17473B73B1C6FFE41F7810CF8C022BA818EEA
1024	abc	616263	738521FE5D9A3EB4A08418A650071F29D83208984325304064AAE1A2402E5B30FC9E471C3278C9416638EE7D845FF6F1CE5EF11EABAAB83B444CB95EAC455791B0F1FC89DFF8997405CEAE73C34D9A97A03123E2B9D22A2302B49E012D880194C832C8FBDAB9CBB60824D2E879ACE7CEB1F902E54FCAA9DC81E09F3C71B04F86
