implementation,digest_bits,level,input_bytes,iterations,repetitions,best_ns,best_cycles,avg_ns,avg_cycles,throughput_mib_s,checksum
Eijen x86 reference C99,256,S1,32,65536,5,28904921,57809896,441.05,882.11,69.19,000000000d4e0000
Eijen x86 reference C99,256,S2,128,16384,5,7210550,14421152,440.10,880.20,277.37,f65e6cd9cfe150da
Eijen x86 reference C99,256,S3,512,4096,5,4938161,9876374,1205.61,2411.22,405.01,5f7602f4152ecfa3
Eijen x86 reference C99,256,S4,1024,2048,5,4028293,8056640,1966.94,3933.91,496.49,14f1e59e6b4fd85d
Eijen x86 reference C99,256,S5,4096,512,5,3735729,7471534,7296.35,14592.84,535.37,5202b7ba5d0769e8
Eijen x86 reference C99,256,S6,8192,256,5,3729817,7459712,14569.60,29139.50,536.22,f47c64797559d2a0
Eijen x86 reference C99,256,S7,16384,200,5,5835712,11671502,29178.56,58357.51,535.50,d97a54826c6ea55a
Eijen x86 reference C99,256,S8,65536,200,5,23304229,46608576,116521.15,233042.88,536.38,f9ad384a92b91754
Eijen x86 reference C99,384,S1,32,65536,5,30136515,60273108,459.85,919.69,66.36,000000000cca0000
Eijen x86 reference C99,384,S2,128,16384,5,7538443,15076966,460.11,920.22,265.31,12930f4f5a6eeb9a
Eijen x86 reference C99,384,S3,512,4096,5,4975460,9951004,1214.71,2429.44,401.97,dc9871b76a7cbff5
Eijen x86 reference C99,384,S4,1024,2048,5,4829165,9658386,2357.99,4716.01,414.15,d4ba8ddc92dffe55
Eijen x86 reference C99,384,S5,4096,512,5,4162714,8325508,8130.30,16260.76,480.46,0a8a9ec4edbe08ab
Eijen x86 reference C99,384,S6,8192,256,5,4034164,8068406,15758.45,31517.21,495.77,355aca68c4a58b96
Eijen x86 reference C99,384,S7,16384,200,5,6263904,12527900,31319.52,62639.50,498.89,a8f66ecaeed9711c
Eijen x86 reference C99,384,S8,65536,200,5,25103204,50206526,125516.02,251032.63,497.94,43526ccc95512465
Eijen x86 reference C99,512,S1,32,65536,5,31458999,62918050,480.03,960.05,63.57,0000000078e70000
Eijen x86 reference C99,512,S2,128,16384,5,7806352,15612768,476.46,952.93,256.20,1a0a082863b14273
Eijen x86 reference C99,512,S3,512,4096,5,5069110,10138272,1237.58,2475.16,394.55,3c9bba5195fa3691
Eijen x86 reference C99,512,S4,1024,2048,5,4876488,9753032,2381.10,4762.22,410.13,217529eff1367aaa
Eijen x86 reference C99,512,S5,4096,512,5,4544154,9088392,8875.30,17750.77,440.13,b583e1c12498fccc
Eijen x86 reference C99,512,S6,8192,256,5,4407820,8815720,17218.05,34436.41,453.74,9f1c7b8cb365a649
Eijen x86 reference C99,512,S7,16384,200,5,6888436,13776952,34442.18,68884.76,453.66,9c8b142e893db386
Eijen x86 reference C99,512,S8,65536,200,5,27338686,54677484,136693.43,273387.42,457.23,f65955cd83654197
Eijen x86 reference C99,768,S1,32,65536,5,33997776,67995632,518.76,1037.53,58.83,0000000016a50000
Eijen x86 reference C99,768,S2,128,16384,5,8434860,16869772,514.82,1029.65,237.11,71953ce11153241d
Eijen x86 reference C99,768,S3,512,4096,5,6772849,13545748,1653.53,3307.07,295.30,d22bfce31ad2220a
Eijen x86 reference C99,768,S4,1024,2048,5,5731345,11462766,2798.51,5597.05,348.96,cdd82e1c616498c0
Eijen x86 reference C99,768,S5,4096,512,5,5333277,10666632,10416.56,20833.27,375.00,7f655ce7c8fa7473
Eijen x86 reference C99,768,S6,8192,256,5,5361625,10723328,20943.85,41888.00,373.02,6dabf6d82cb55062
Eijen x86 reference C99,768,S7,16384,200,5,8285710,16571514,41428.55,82857.57,377.16,5b89e1eca9ea8f2f
Eijen x86 reference C99,768,S8,65536,200,5,33038419,66076942,165192.10,330384.71,378.35,4b89dc00990e55b3
Eijen x86 reference C99,1024,S1,32,65536,5,37209891,74419860,567.78,1135.56,53.75,0000000032ac0000
Eijen x86 reference C99,1024,S2,128,16384,5,15363680,30727410,937.72,1875.45,130.18,74ff6069b1129f1f
Eijen x86 reference C99,1024,S3,512,4096,5,8625824,17251700,2105.91,4211.84,231.86,24fa2b4293587599
Eijen x86 reference C99,1024,S4,1024,2048,5,7502513,15005082,3663.34,7326.70,266.58,50e176ca45afe597
Eijen x86 reference C99,1024,S5,4096,512,5,7019739,14039558,13710.43,27421.01,284.91,cd24037afd7888ae
Eijen x86 reference C99,1024,S6,8192,256,5,6872789,13745654,26846.83,53693.96,291.00,d672dbb6f4180113
Eijen x86 reference C99,1024,S7,16384,200,5,10652126,21304340,53260.63,106521.70,293.37,9e8db457bd188441
Eijen x86 reference C99,1024,S8,65536,200,5,42417299,84834704,212086.49,424173.52,294.69,d7cddceef2f79351
