Algorithm,Level,MessageBytes,ThroughputMBps,CyclesPerByte
Neulaser-512,S1,32,6.35,421.1449
Neulaser-512,S2,128,13.85,193.0724
Neulaser-512,S3,512,23.36,114.4534
Neulaser-512,S4,1024,25.84,103.4656
Neulaser-512,S5,4096,27.37,97.6781
Neulaser-512,S6,8192,27.85,95.9961
Neulaser-512,S7,16384,28.20,94.7930
Neulaser-512,S8,65536,28.25,94.6488
Neulaser-768,S1,32,4.85,550.8215
Neulaser-768,S2,128,19.44,137.4982
Neulaser-768,S3,512,21.64,123.5642
Neulaser-768,S4,1024,25.40,105.2658
Neulaser-768,S5,4096,25.58,104.5280
Neulaser-768,S6,8192,26.72,100.0441
Neulaser-768,S7,16384,26.75,99.9404
Neulaser-768,S8,65536,26.74,99.9613
Neulaser-1024,S1,32,3.90,686.9858
Neulaser-1024,S2,128,15.77,169.4992
Neulaser-1024,S3,512,23.42,114.1643
Neulaser-1024,S4,1024,24.40,109.5463
Neulaser-1024,S5,4096,25.92,103.1369
Neulaser-1024,S6,8192,26.23,101.9026
Neulaser-1024,S7,16384,26.42,101.1736
Neulaser-1024,S8,65536,26.74,99.9664
