# QSH-512  TSC_GHz=2.7999
variant,size_bytes,iters,avg_cycles,cyc_per_byte,throughput_MBps
QSH-512,32,296490,2303.9,72.00,38.9
QSH-512,128,205705,3343.1,26.12,107.2
QSH-512,512,107827,6445.2,12.59,222.4
QSH-512,1024,65887,10562.3,10.31,271.5
QSH-512,4096,18820,37151.9,9.07,308.7
QSH-512,8192,9715,71964.4,8.78,318.7
QSH-512,16384,4938,141565.4,8.64,324.1
QSH-512,65536,1250,559342.6,8.53,328.1
QSH-512,262144,313,2231773.5,8.51,328.9
QSH-512,1048576,100,8931363.1,8.52,328.7
# QSH-768  TSC_GHz=2.7999
variant,size_bytes,iters,avg_cycles,cyc_per_byte,throughput_MBps
QSH-768,32,112101,6190.3,193.45,14.5
QSH-768,128,112878,6148.0,48.03,58.3
QSH-768,512,57656,12065.5,23.57,118.8
QSH-768,1024,38868,17912.7,17.49,160.1
QSH-768,4096,12532,56083.7,13.69,204.5
QSH-768,8192,6636,105416.0,12.87,217.6
QSH-768,16384,3405,204834.4,12.50,224.0
QSH-768,65536,869,799987.9,12.21,229.4
QSH-768,262144,220,3191828.8,12.18,230.0
QSH-768,1048576,100,12700045.0,12.11,231.2
# QSH-1024  TSC_GHz=2.7999
variant,size_bytes,iters,avg_cycles,cyc_per_byte,throughput_MBps
QSH-1024,32,110599,6218.4,194.33,14.4
QSH-1024,128,112337,6176.9,48.26,58.0
QSH-1024,512,57646,12082.8,23.60,118.6
QSH-1024,1024,38896,17948.1,17.53,159.7
QSH-1024,4096,12530,55869.0,13.64,205.3
QSH-1024,8192,6644,105576.2,12.89,217.3
QSH-1024,16384,3376,205022.2,12.51,223.8
QSH-1024,65536,876,800052.8,12.21,229.4
QSH-1024,262144,220,3179081.5,12.13,230.9
QSH-1024,1048576,100,12714643.6,12.13,230.9
