# QSH-512  TSC_GHz=2.7999
variant,size_bytes,iters,avg_cycles,cyc_per_byte,throughput_MBps
QSH-512,32,7824,86272.5,2696.01,1.0
QSH-512,128,6093,115157.2,899.67,3.1
QSH-512,512,3488,200880.8,392.35,7.1
QSH-512,1024,2215,317123.3,309.69,9.0
QSH-512,4096,627,1116953.2,272.69,10.3
QSH-512,8192,326,2143543.1,261.66,10.7
QSH-512,16384,166,4199908.9,256.34,10.9
QSH-512,65536,100,16509823.2,251.92,11.1
QSH-512,262144,100,65941571.0,251.55,11.1
QSH-512,1048576,100,263234477.9,251.04,11.2
# QSH-768  TSC_GHz=2.7999
variant,size_bytes,iters,avg_cycles,cyc_per_byte,throughput_MBps
QSH-768,32,4124,168981.1,5280.66,0.5
QSH-768,128,4152,169005.3,1320.35,2.1
QSH-768,512,2491,281327.4,549.47,5.1
QSH-768,1024,1735,395177.5,385.92,7.3
QSH-768,4096,593,1179607.0,287.99,9.7
QSH-768,8192,319,2191381.6,267.50,10.5
QSH-768,16384,166,4218027.8,257.45,10.9
QSH-768,65536,100,16323805.1,249.08,11.2
QSH-768,262144,100,64913358.1,247.62,11.3
QSH-768,1048576,100,258960244.9,246.96,11.3
# QSH-1024  TSC_GHz=2.7999
variant,size_bytes,iters,avg_cycles,cyc_per_byte,throughput_MBps
QSH-1024,32,4108,168794.9,5274.84,0.5
QSH-1024,128,4171,167413.4,1307.92,2.1
QSH-1024,512,2505,279270.6,545.45,5.1
QSH-1024,1024,1788,391129.3,381.96,7.3
QSH-1024,4096,596,1169812.0,285.60,9.8
QSH-1024,8192,322,2172069.1,265.15,10.6
QSH-1024,16384,167,4205401.4,256.68,10.9
QSH-1024,65536,100,16207017.2,247.30,11.3
QSH-1024,262144,100,64237782.5,245.05,11.4
QSH-1024,1048576,100,256764036.0,244.87,11.4
