# QSH-512  TSC_GHz=2.7999
variant,size_bytes,iters,avg_cycles,cyc_per_byte,throughput_MBps
QSH-512,32,296154,2308.6,72.14,38.8
QSH-512,128,205556,3361.6,26.26,106.6
QSH-512,512,107819,6477.1,12.65,221.3
QSH-512,1024,65627,10576.7,10.33,271.1
QSH-512,4096,18801,37159.0,9.07,308.6
QSH-512,8192,9710,72164.0,8.81,317.8
QSH-512,16384,4924,142022.9,8.67,323.0
QSH-512,65536,1249,559736.1,8.54,327.8
QSH-512,262144,313,2235948.8,8.53,328.3
QSH-512,1048576,100,8931688.7,8.52,328.7
# QSH-768  TSC_GHz=2.7999
variant,size_bytes,iters,avg_cycles,cyc_per_byte,throughput_MBps
QSH-768,32,111565,6228.8,194.65,14.4
QSH-768,128,110777,6173.8,48.23,58.1
QSH-768,512,57561,12075.6,23.59,118.7
QSH-768,1024,38796,17928.5,17.51,159.9
QSH-768,4096,12524,56034.8,13.68,204.7
QSH-768,8192,6618,105404.4,12.87,217.6
QSH-768,16384,3419,204564.6,12.49,224.3
QSH-768,65536,874,801223.4,12.23,229.0
QSH-768,262144,219,3187709.8,12.16,230.3
QSH-768,1048576,100,12728407.5,12.14,230.7
# QSH-1024  TSC_GHz=2.7999
variant,size_bytes,iters,avg_cycles,cyc_per_byte,throughput_MBps
QSH-1024,32,107855,6238.6,194.96,14.4
QSH-1024,128,111894,6197.0,48.41,57.8
QSH-1024,512,57437,12123.7,23.68,118.2
QSH-1024,1024,38813,18037.9,17.62,159.0
QSH-1024,4096,12507,55865.8,13.64,205.3
QSH-1024,8192,6621,105389.8,12.86,217.6
QSH-1024,16384,3360,204980.1,12.51,223.8
QSH-1024,65536,875,800327.4,12.21,229.3
QSH-1024,262144,220,3184039.1,12.15,230.5
QSH-1024,1048576,100,12728388.6,12.14,230.7
